"","model.1.mean","model.1.ll","model.1.ul","model.2.mean","model.2.ll","model.2.ul","age","sex"
"129",0.00348533078259168,-0.0131505741107663,0.0192440866461711,0.00328202128482388,-0.0136626358772612,0.0189687883543502,0,2
"130",0.00372779800375358,-0.0121281863487066,0.0188448518121494,0.00365315747589194,-0.012404834824089,0.0186992131963242,0,2
"131",0.00497728322165405,-0.0093447604901516,0.0191692013101351,0.00519472235685953,-0.00904118905762614,0.0193878462887792,0,2
"132",0.00461712120375865,-0.00874497682678192,0.0175975770698291,0.00497575637135418,-0.00828852430002398,0.0178655418037979,0,2
"133",0.0119790986146594,-0.000153145853521655,0.0254203949741888,0.0124817618223738,0.000172788155595485,0.0264042512480905,5,2
"134",0.00786570490601985,-0.00558659411358261,0.0203408550024244,0.00771397082715913,-0.00608598214789333,0.0203511168086062,5,2
"135",0.00817580332406329,-0.00621576770326135,0.021400472742786,0.00787533041921767,-0.00699417304844047,0.0213152067481613,5,2
"136",0.0119678656875317,-0.00218763336207364,0.0267223851189754,0.0117212066753478,-0.00281466019036331,0.0267086892553038,5,2
"137",0.015556228848255,0.00131790201594875,0.0321182298950234,0.015662377719318,0.00114611924938511,0.0327088303297646,5,2
"138",0.0156327146267006,0.00100895965433663,0.0327706223725972,0.0158439675915721,0.00091511020129368,0.0335774322657247,5,2
"139",0.0117171431879235,-0.00335682247000672,0.0272903356671585,0.0118547775793445,-0.00356180428217407,0.0278432609163848,5,2
"140",0.00810964890160536,-0.00824600203931791,0.0232238618853713,0.00793477103836076,-0.00897439826086274,0.0233762866615753,5,2
"141",0.00531764809657218,-0.0127758883956641,0.0204603226568325,0.00488098004799046,-0.0143074510304254,0.0204195800926329,5,2
"142",0.00704804490342416,-0.0087133548199575,0.0214132448575303,0.00704785896659005,-0.00919632659528064,0.0217051535222166,5,2
"143",0.0107904225117736,-0.00231616700206698,0.0249064229577983,0.0114378487180328,-0.00186507783741239,0.0261112572548866,5,2
"144",0.00759697747673756,-0.00499381651466486,0.0194158829315009,0.00788244493221669,-0.00487718360425669,0.0198263221053059,5,2
"145",0.00922804483822512,0.00131133328426632,0.0171818575111062,0.00938234409355388,0.00161703385215273,0.0172016034439422,15,2
"146",0.0131116853262229,0.00497621450099408,0.0216961611494003,0.0130658728959047,0.00507352151982472,0.0215485307325798,15,2
