"","age","sex","corr.temp.terms","corr.state.intercept.terms","corr.month.intercept.terms","corr.state.month.intercept.terms","corr.state.slope.terms","corr.month.slope.terms","corr.state.month.slope.terms","scale.new.temp.slope"
"1",0,1,0.99513976387226,0.780868619313515,0.983883389694129,0.785191156270313,0.992575909157735,0.941992588559278,0.954607924438497,3.3443598040138
"2",5,1,0.99968782941697,0.76318522254559,0.996870650513732,0.856202260891189,0.997884648849418,0.98132084273571,0.978521340115809,3.08464491094158
"3",15,1,0.9999025092081,0.94503056644288,0.991668739449021,0.859051857752902,0.999882980880259,0.997089115177063,0.980654111985091,2.36117638562713
"4",25,1,0.999773179177647,0.901907274852762,0.989549733803171,0.83137824357668,0.999850813438982,0.97436532014243,0.975776288536526,2.60541528086891
"5",35,1,0.999423857113051,0.865275942170458,0.947905128047934,0.72619784713806,0.999705801779244,0.994897878602373,0.973874957485063,2.74757559879482
"6",45,1,0.999686611471245,0.889816860179479,0.700363681907282,0.640565773740364,0.999274275362914,0.992578481800599,0.959625770159245,2.85375283020194
"7",55,1,0.997231833300451,0.842089155344006,0.341709458904217,0.590569792034896,0.998656022045628,0.995154964735003,0.959647529718738,3.01586815432588
"8",65,1,0.993606239490769,0.921006541535057,-0.15136143542896,0.510438048156597,0.997482454550387,0.993993672463692,0.940220492877342,2.98275309329678
"9",75,1,0.999460423560865,0.910274825091553,-0.327501539709465,0.431453474647862,0.99649550228298,0.992310242058393,0.95037122343779,2.99707226766143
"10",85,1,0.998088922918993,0.338965897497385,-0.285103020197498,0.545384315478738,0.993699164220589,0.928902148154001,0.9530245912975,3.31425871365703
"11",0,2,0.993484692598297,0.730845609674005,0.994779061915164,0.764266158271462,0.990777771117616,0.835445094881662,0.939362390351877,3.44730694827138
"12",5,2,0.996460609573285,0.787698369220256,0.992829255655146,0.71737898627524,0.992686452045137,0.854054083239035,0.948153466982251,3.36685041750579
"13",15,2,0.999916846686898,0.904942901428093,0.987155958018627,0.706710545599137,0.999227806177202,0.982513013366014,0.968830497749721,2.99271669388097
"14",25,2,0.996577042961323,0.8372815515682,0.88187729244354,0.649282991769662,0.999039066563239,0.732517076959713,0.968539125078234,3.10812401724175
"15",35,2,0.994660962635563,0.834176594206682,0.633349941613102,0.566201739697848,0.998274896773815,0.869295519250568,0.959705742442854,3.27134561021858
"16",45,2,0.994451843726595,0.877964089317776,0.292309748981704,0.481706635288144,0.997680814123333,0.886865949911036,0.932669454793187,3.27015534464416
"17",55,2,0.997311157923961,0.842065763493135,0.212206819617682,0.409066321832771,0.995850406297608,0.904793790898409,0.91619899538195,3.33929839727496
"18",65,2,0.997143860954329,0.821282188240001,0.37025923798618,0.416883667473667,0.995279069287775,0.363387492054037,0.928213554958181,3.28302987648495
"19",75,2,0.99934001221328,0.718346112630333,-0.0175420361356788,0.361683739004785,0.994731006837471,0.978550850422392,0.945517539175071,3.18266587632546
"20",85,2,0.995596266982012,0.667727270487922,0.0776671296327869,0.615940791793301,0.982924721030345,0.880131835981339,0.930512308452368,3.31134849655296
