"","model.2.mean","age","sex","cause"
"91",-0.0649373795898656,65,1,"Accidental drowning and submersion"
"92",-0.0658402063907763,65,1,"Accidental drowning and submersion"
"93",-0.07152389026464,65,1,"Accidental drowning and submersion"
"94",-0.079940157926271,65,1,"Accidental drowning and submersion"
"95",-0.0781869010403235,65,1,"Accidental drowning and submersion"
"96",-0.0685039898294194,65,1,"Accidental drowning and submersion"
"97",-0.0541511833303994,75,1,"Accidental drowning and submersion"
"98",-0.0601575136285464,75,1,"Accidental drowning and submersion"
"99",-0.0784724336030072,75,1,"Accidental drowning and submersion"
"100",-0.0822635404700794,75,1,"Accidental drowning and submersion"
"101",-0.0753235917860579,75,1,"Accidental drowning and submersion"
"102",-0.06564276841162,75,1,"Accidental drowning and submersion"
"103",-0.062296297340303,75,1,"Accidental drowning and submersion"
"104",-0.0619201062342246,75,1,"Accidental drowning and submersion"
"105",-0.0729229761325892,75,1,"Accidental drowning and submersion"
"106",-0.0816826564398074,75,1,"Accidental drowning and submersion"
"107",-0.0778702887089348,75,1,"Accidental drowning and submersion"
"108",-0.0640148662861939,75,1,"Accidental drowning and submersion"
"109",-0.0503524287941574,85,1,"Accidental drowning and submersion"
"110",-0.0542135085141745,85,1,"Accidental drowning and submersion"
"111",-0.0669933717642938,85,1,"Accidental drowning and submersion"
"112",-0.0718725996989814,85,1,"Accidental drowning and submersion"
"113",-0.0693440534142893,85,1,"Accidental drowning and submersion"
"114",-0.0615645468383352,85,1,"Accidental drowning and submersion"
"115",-0.0565879447958517,85,1,"Accidental drowning and submersion"
"116",-0.0584778361209685,85,1,"Accidental drowning and submersion"
"117",-0.0657463668996745,85,1,"Accidental drowning and submersion"
"118",-0.0749203856814497,85,1,"Accidental drowning and submersion"
"119",-0.0711450280280048,85,1,"Accidental drowning and submersion"
"120",-0.0601225118285065,85,1,"Accidental drowning and submersion"
"121",-0.077627604619047,0,2,"Accidental drowning and submersion"
"122",-0.0772108628506326,0,2,"Accidental drowning and submersion"
"123",-0.0793507038079573,0,2,"Accidental drowning and submersion"
"124",-0.0780853804663687,0,2,"Accidental drowning and submersion"
"125",-0.0710148474199671,0,2,"Accidental drowning and submersion"
"126",-0.0647468259565612,0,2,"Accidental drowning and submersion"
"127",-0.0607769882629686,0,2,"Accidental drowning and submersion"
"128",-0.0630312800886223,0,2,"Accidental drowning and submersion"
"129",-0.0728411187978511,0,2,"Accidental drowning and submersion"
"130",-0.0849453443874454,0,2,"Accidental drowning and submersion"
"131",-0.0921738257946932,0,2,"Accidental drowning and submersion"
"132",-0.0852073551637407,0,2,"Accidental drowning and submersion"
"133",-0.080009599150273,5,2,"Accidental drowning and submersion"
"134",-0.0889937779836482,5,2,"Accidental drowning and submersion"
"135",-0.102162392291424,5,2,"Accidental drowning and submersion"
"136",-0.0996298702250203,5,2,"Accidental drowning and submersion"
"137",-0.078812890856626,5,2,"Accidental drowning and submersion"
"138",-0.0616317513776899,5,2,"Accidental drowning and submersion"
"139",-0.0613584060130257,5,2,"Accidental drowning and submersion"
"140",-0.0651937968687238,5,2,"Accidental drowning and submersion"
"141",-0.0861811858968247,5,2,"Accidental drowning and submersion"
"142",-0.110779595807082,5,2,"Accidental drowning and submersion"
"143",-0.120988640407416,5,2,"Accidental drowning and submersion"
"144",-0.0979489612543901,5,2,"Accidental drowning and submersion"
"145",-0.0780835279681536,15,2,"Accidental drowning and submersion"
"146",-0.0870205968689988,15,2,"Accidental drowning and submersion"
"147",-0.101065641983982,15,2,"Accidental drowning and submersion"
"148",-0.101185063066058,15,2,"Accidental drowning and submersion"
"149",-0.0848913109859328,15,2,"Accidental drowning and submersion"
"150",-0.0662364066395305,15,2,"Accidental drowning and submersion"
"151",-0.0614826074117904,15,2,"Accidental drowning and submersion"
"152",-0.0679642660551861,15,2,"Accidental drowning and submersion"
"153",-0.0871719379685264,15,2,"Accidental drowning and submersion"
"154",-0.10580302711154,15,2,"Accidental drowning and submersion"
"155",-0.107568875617707,15,2,"Accidental drowning and submersion"
"156",-0.0927043492558818,15,2,"Accidental drowning and submersion"
"157",-0.079278835418553,25,2,"Accidental drowning and submersion"
"158",-0.084719744171631,25,2,"Accidental drowning and submersion"
"159",-0.0966734887885029,25,2,"Accidental drowning and submersion"
"160",-0.0983961387059656,25,2,"Accidental drowning and submersion"
"161",-0.0859927903073991,25,2,"Accidental drowning and submersion"
"162",-0.0703892819530805,25,2,"Accidental drowning and submersion"
"163",-0.0652734294109529,25,2,"Accidental drowning and submersion"
"164",-0.0701762573863182,25,2,"Accidental drowning and submersion"
"165",-0.0825144303490318,25,2,"Accidental drowning and submersion"
"166",-0.0986758838133234,25,2,"Accidental drowning and submersion"
"167",-0.102169717828453,25,2,"Accidental drowning and submersion"
"168",-0.0918707859524973,25,2,"Accidental drowning and submersion"
"169",-0.0684110912632633,35,2,"Accidental drowning and submersion"
"170",-0.0729682021202316,35,2,"Accidental drowning and submersion"
"171",-0.0918708346194088,35,2,"Accidental drowning and submersion"
"172",-0.100608676728263,35,2,"Accidental drowning and submersion"
"173",-0.0910611496295895,35,2,"Accidental drowning and submersion"
"174",-0.0738552490682454,35,2,"Accidental drowning and submersion"
"175",-0.0660636717642529,35,2,"Accidental drowning and submersion"
"176",-0.0709402390833271,35,2,"Accidental drowning and submersion"
"177",-0.0824015940816436,35,2,"Accidental drowning and submersion"
"178",-0.1020565813947,35,2,"Accidental drowning and submersion"
"179",-0.10182046667221,35,2,"Accidental drowning and submersion"
"180",-0.0816077276864799,35,2,"Accidental drowning and submersion"
"181",-0.070107134414984,45,2,"Accidental drowning and submersion"
"182",-0.0759611180602982,45,2,"Accidental drowning and submersion"
"183",-0.0936012637168545,45,2,"Accidental drowning and submersion"
"184",-0.0964218850501095,45,2,"Accidental drowning and submersion"
"185",-0.0869288736965437,45,2,"Accidental drowning and submersion"
"186",-0.0731281650475263,45,2,"Accidental drowning and submersion"
"187",-0.0674577329060391,45,2,"Accidental drowning and submersion"
"188",-0.0702685895680634,45,2,"Accidental drowning and submersion"
"189",-0.0820610876210969,45,2,"Accidental drowning and submersion"
"190",-0.0993407159626711,45,2,"Accidental drowning and submersion"
"191",-0.0982083569428273,45,2,"Accidental drowning and submersion"
"192",-0.0785689800625023,45,2,"Accidental drowning and submersion"
"193",-0.069324940490083,55,2,"Accidental drowning and submersion"
"194",-0.0702757455639751,55,2,"Accidental drowning and submersion"
"195",-0.0896920618265802,55,2,"Accidental drowning and submersion"
"196",-0.0969604158152368,55,2,"Accidental drowning and submersion"
"197",-0.0849084724508592,55,2,"Accidental drowning and submersion"
"198",-0.073897462957734,55,2,"Accidental drowning and submersion"
"199",-0.0685596500377706,55,2,"Accidental drowning and submersion"
"200",-0.0693392314016021,55,2,"Accidental drowning and submersion"
"201",-0.078725668952701,55,2,"Accidental drowning and submersion"
"202",-0.0949492852699756,55,2,"Accidental drowning and submersion"
"203",-0.0938484269332618,55,2,"Accidental drowning and submersion"
"204",-0.0785810693976026,55,2,"Accidental drowning and submersion"
"205",-0.069324940490083,65,2,"Accidental drowning and submersion"
"206",-0.0702757455639751,65,2,"Accidental drowning and submersion"
"207",-0.0896920618265802,65,2,"Accidental drowning and submersion"
"208",-0.0969604158152368,65,2,"Accidental drowning and submersion"
"209",-0.0849084724508592,65,2,"Accidental drowning and submersion"
"210",-0.073897462957734,65,2,"Accidental drowning and submersion"
"211",-0.0685596500377706,65,2,"Accidental drowning and submersion"
"212",-0.0693392314016021,65,2,"Accidental drowning and submersion"
"213",-0.078725668952701,65,2,"Accidental drowning and submersion"
"214",-0.0949492852699756,65,2,"Accidental drowning and submersion"
"215",-0.0938484269332618,65,2,"Accidental drowning and submersion"
"216",-0.0785810693976026,65,2,"Accidental drowning and submersion"
"217",-0.0586661117996232,75,2,"Accidental drowning and submersion"
"218",-0.0635211510641163,75,2,"Accidental drowning and submersion"
"219",-0.080567692234635,75,2,"Accidental drowning and submersion"
"220",-0.0879063249890727,75,2,"Accidental drowning and submersion"
"221",-0.0835228896281872,75,2,"Accidental drowning and submersion"
"222",-0.0718339660314972,75,2,"Accidental drowning and submersion"
"223",-0.064831352093239,75,2,"Accidental drowning and submersion"
"224",-0.0664697729838552,75,2,"Accidental drowning and submersion"
"225",-0.0752360053541875,75,2,"Accidental drowning and submersion"
"226",-0.087955695607049,75,2,"Accidental drowning and submersion"
"227",-0.0875818691352126,75,2,"Accidental drowning and submersion"
"228",-0.0665483520042625,75,2,"Accidental drowning and submersion"
"229",-0.0591098439145716,85,2,"Accidental drowning and submersion"
"230",-0.0665009383687308,85,2,"Accidental drowning and submersion"
"231",-0.0741281920871436,85,2,"Accidental drowning and submersion"
"232",-0.0814629354074208,85,2,"Accidental drowning and submersion"
"233",-0.0757151969466208,85,2,"Accidental drowning and submersion"
"234",-0.0655566162411467,85,2,"Accidental drowning and submersion"
"235",-0.0615437091767205,85,2,"Accidental drowning and submersion"
"236",-0.063199330577358,85,2,"Accidental drowning and submersion"
"237",-0.0704741907337293,85,2,"Accidental drowning and submersion"
"238",-0.080398782859249,85,2,"Accidental drowning and submersion"
"239",-0.0769259109011416,85,2,"Accidental drowning and submersion"
"240",-0.0678301683261698,85,2,"Accidental drowning and submersion"
