"","model.2.mean","model.2.ll","model.2.ul","age","sex","cause"
"1",0.027551921795764,0.0118442630419411,0.041838628986323,0,1,"Accidental drowning and submersion"
"2",0.0292371488840345,0.0144204986849501,0.0435861099888307,0,1,"Accidental drowning and submersion"
"3",0.0297903981628112,0.0146619221218654,0.0444989519423888,0,1,"Accidental drowning and submersion"
"4",0.0289046521430287,0.0124438585958307,0.0437866055968484,0,1,"Accidental drowning and submersion"
"5",0.0342257546854859,0.0192843883085432,0.0508057157266837,0,1,"Accidental drowning and submersion"
"6",0.0353875610845205,0.0202309876934852,0.0525726127741136,0,1,"Accidental drowning and submersion"
"7",0.0343802842673314,0.0189072984164716,0.0512571282222326,0,1,"Accidental drowning and submersion"
"8",0.0331776141384373,0.0169828486837926,0.0502388416805996,0,1,"Accidental drowning and submersion"
"9",0.0325265438260529,0.0158915017664264,0.0499315172626745,0,1,"Accidental drowning and submersion"
"10",0.0318740922682511,0.0154571650705945,0.0489808113111505,0,1,"Accidental drowning and submersion"
"11",0.0295722303514541,0.0132988227992442,0.045185713377828,0,1,"Accidental drowning and submersion"
"12",0.02879583765512,0.0135041325337507,0.043386199540624,0,1,"Accidental drowning and submersion"
"13",0.00859954086739485,-0.0151721759335586,0.0312413544164405,5,1,"Accidental drowning and submersion"
"14",0.0190922016300224,-0.00440666461056931,0.0417980250630605,5,1,"Accidental drowning and submersion"
"15",0.0289876531965929,0.00276175435179382,0.0536599069624896,5,1,"Accidental drowning and submersion"
"16",0.0496522877389221,0.0231199743898856,0.0763419692773248,5,1,"Accidental drowning and submersion"
"17",0.0746858597115175,0.0490911502580467,0.102629734662124,5,1,"Accidental drowning and submersion"
"18",0.0777550627258077,0.0536065077820291,0.103137726123369,5,1,"Accidental drowning and submersion"
"19",0.0747188368376999,0.0501958692637091,0.100714757596862,5,1,"Accidental drowning and submersion"
"20",0.0601389618948415,0.0334108261594218,0.0879637024580095,5,1,"Accidental drowning and submersion"
"21",0.0468493992187977,0.0161452182789375,0.0787347260804679,5,1,"Accidental drowning and submersion"
"22",0.0252792701560957,-0.00775137144551765,0.0556739099318926,5,1,"Accidental drowning and submersion"
"23",0.0140333002386566,-0.0147292479266236,0.0408913592961967,5,1,"Accidental drowning and submersion"
"24",0.00660198149750568,-0.017481209347384,0.0297036099075841,5,1,"Accidental drowning and submersion"
"25",0.0349521523338861,0.0130267219767585,0.0563030602449218,15,1,"Accidental drowning and submersion"
"26",0.0388227339796336,0.0160198822780234,0.060304998578493,15,1,"Accidental drowning and submersion"
"27",0.0579401377679585,0.0356763603086992,0.079626324898593,15,1,"Accidental drowning and submersion"
"28",0.0839921044029664,0.0617191931691055,0.108195573816679,15,1,"Accidental drowning and submersion"
"29",0.0913166725654105,0.071915512549141,0.11155121998944,15,1,"Accidental drowning and submersion"
"30",0.0929569214989872,0.0749221407501502,0.111416453588138,15,1,"Accidental drowning and submersion"
"31",0.089750038926197,0.0712801606752571,0.108311295767132,15,1,"Accidental drowning and submersion"
"32",0.0949412373925152,0.0730883583420789,0.118528249413085,15,1,"Accidental drowning and submersion"
"33",0.0776732033810002,0.0522775157185772,0.104262966726958,15,1,"Accidental drowning and submersion"
"34",0.0595616066300477,0.0323379573809419,0.0871043673160503,15,1,"Accidental drowning and submersion"
"35",0.0336898303992918,0.00574688870618123,0.059054609742926,15,1,"Accidental drowning and submersion"
"36",0.0264772506766828,0.00306803320537025,0.0486659127379114,15,1,"Accidental drowning and submersion"
"37",0.0220660460517644,-0.000332214716465506,0.0431098974176641,25,1,"Accidental drowning and submersion"
"38",0.0345787460982713,0.0136011947136513,0.0549782495171414,25,1,"Accidental drowning and submersion"
"39",0.0462471087871972,0.0239430077360997,0.0680159667147353,25,1,"Accidental drowning and submersion"
"40",0.0609970798449692,0.0376989326654525,0.0844775255839171,25,1,"Accidental drowning and submersion"
"41",0.0769750200044424,0.0551758596505978,0.0998790328551119,25,1,"Accidental drowning and submersion"
"42",0.0929110460771657,0.0694237085632536,0.118463043695729,25,1,"Accidental drowning and submersion"
"43",0.0780569021619942,0.0571388537927373,0.0994951255560032,25,1,"Accidental drowning and submersion"
"44",0.0696129996867448,0.0467141267579913,0.0933513883672014,25,1,"Accidental drowning and submersion"
"45",0.0602622071433469,0.0346220657808008,0.0875929098660065,25,1,"Accidental drowning and submersion"
"46",0.0406116211702412,0.0135086374387734,0.0665440551918924,25,1,"Accidental drowning and submersion"
"47",0.0236957834991129,-0.00313612936845512,0.0479651736886354,25,1,"Accidental drowning and submersion"
"48",0.0236402984780116,0.00203397224026424,0.0445383330049899,25,1,"Accidental drowning and submersion"
"49",0.0288772291900761,0.00953915454405499,0.0457900578303695,35,1,"Accidental drowning and submersion"
"50",0.0305723199501966,0.0114802391152209,0.0474361854382238,35,1,"Accidental drowning and submersion"
"51",0.0363316278565715,0.0176862281469432,0.0544209399166409,35,1,"Accidental drowning and submersion"
"52",0.0375786183200025,0.0168818680564782,0.0564088107980443,35,1,"Accidental drowning and submersion"
"53",0.0472019449354483,0.0286570790376396,0.0681949050223378,35,1,"Accidental drowning and submersion"
"54",0.0511594359555837,0.0325065588967515,0.0728148536147499,35,1,"Accidental drowning and submersion"
"55",0.056750235648093,0.0366115640895173,0.081194040061615,35,1,"Accidental drowning and submersion"
"56",0.0525506002418904,0.0328066395613262,0.0763106788312969,35,1,"Accidental drowning and submersion"
"57",0.0470585526208274,0.026696623053328,0.0705937614277689,35,1,"Accidental drowning and submersion"
"58",0.0377495905017303,0.0159129151796891,0.0582064186486749,35,1,"Accidental drowning and submersion"
