"","model.1.mean","model.1.ll","model.1.ul","model.2.mean","model.2.ll","model.2.ul","age","sex","cause"
"1",0.00748305728249866,-0.00536285174752084,0.0205062340754526,0.00889860434452894,-0.0143630186590463,0.0321599488481794,0,2,"Transport accidents"
"2",0.00896566532251914,-0.00391385298249888,0.022628190455218,0.0125957604519351,-0.0108249584091277,0.036058383807314,0,2,"Transport accidents"
"3",0.00929109797233532,-0.00416837774608373,0.023671150543671,0.0102544772511699,-0.0159285022205672,0.0363209765826672,0,2,"Transport accidents"
"4",0.0100488362835578,-0.00402525054660412,0.0257099686006962,0.0268886687375694,-0.0024935662563462,0.0565635376592283,0,2,"Transport accidents"
"5",0.00703271244069664,-0.00795341297928326,0.0217882778207234,-0.000740036560118063,-0.0301884057031794,0.028438582429678,0,2,"Transport accidents"
"6",0.00629803508066901,-0.00942790888550865,0.0215773993155836,0.0038256468277693,-0.0290934778430504,0.0366446449411671,0,2,"Transport accidents"
"7",0.00611737475489474,-0.00993075177413744,0.0218397319082613,0.0136508265369017,-0.0206886982388245,0.0483730869188464,0,2,"Transport accidents"
"8",0.00419493083379225,-0.0129468421924468,0.0196750878182258,-0.0116160875624717,-0.0472255065335574,0.0233789484179396,0,2,"Transport accidents"
"9",0.00514757428008764,-0.011204059632855,0.020703938788666,0.00813192659906189,-0.0281891222217341,0.0447502116603296,0,2,"Transport accidents"
"10",0.00523611722732576,-0.0103461633549907,0.0201058758177503,0.00293683682393151,-0.0300320903809906,0.035789155272024,0,2,"Transport accidents"
"11",0.00576353027530757,-0.00844212608867681,0.0196102528130041,0.00755714644945225,-0.0193975568227419,0.034632599063214,0,2,"Transport accidents"
"12",0.00545463507259893,-0.00779347433442157,0.0181259225986414,-5.81453869988827e-05,-0.0214460032554461,0.0214135562856528,0,2,"Transport accidents"
"13",0.0123798333917109,0.000509239708721188,0.0253924580393637,0.0232989702039635,0.00378131140240725,0.0428884563205909,5,2,"Transport accidents"
"14",0.00698696676478501,-0.00739781598378907,0.0192473140801592,-0.00363029368994051,-0.023520755493793,0.0162160482668766,5,2,"Transport accidents"
"15",0.00839790551804796,-0.00632343308479309,0.0213294425986139,0.000745433384029048,-0.0220481523864352,0.0234680455727169,5,2,"Transport accidents"
"16",0.0128458662619581,-0.00113842144956598,0.0275760134638992,0.016045327378169,-0.00989580916835392,0.0419884053930551,5,2,"Transport accidents"
"17",0.0164497837722215,0.00239795770656324,0.0331440893310752,0.0250512953514277,-0.000707870605040687,0.050798764421076,5,2,"Transport accidents"
"18",0.0175540218050636,0.00302465067599499,0.0353419880468085,0.0318177547591652,0.00441549077642512,0.0593202516668516,5,2,"Transport accidents"
"19",0.0145750302564935,-0.000253535168141821,0.0307496670569108,0.0177638293174665,-0.0104030728780275,0.0459231742097253,5,2,"Transport accidents"
"20",0.0111790915584364,-0.00499119912250025,0.0263408494296602,0.0061156597840874,-0.0227590625496834,0.0349175569383954,5,2,"Transport accidents"
"21",0.00896491562816407,-0.00866437519203028,0.0239565760340975,-0.00715341307761531,-0.0391152984196193,0.0244578608997582,5,2,"Transport accidents"
"22",0.0110161775891838,-0.00411055701745973,0.0255862490014732,0.00784805118019453,-0.0199805160243077,0.0355988299818112,5,2,"Transport accidents"
"23",0.0140403111202995,0.00114836830770263,0.0288034926421598,0.0273405800672653,0.00490122445396029,0.0499483387178623,5,2,"Transport accidents"
"24",0.00932818300660486,-0.00320315836342996,0.0209568876591448,0.000860045104531313,-0.0168382332180578,0.0185784264960711,5,2,"Transport accidents"
"25",0.00881599992873845,0.00120528410843615,0.0164686452887849,0.00935974921695105,-0.00132165620703467,0.0200343839678543,15,2,"Transport accidents"
"26",0.0115620144189526,0.00379637989113765,0.0195678803450378,0.0125456495633425,0.00159460606016573,0.0235003883286107,15,2,"Transport accidents"
"27",0.013317751509527,0.00486344577917641,0.0221498792981486,0.0138545774233303,0.00119641573846206,0.0264970009771286,15,2,"Transport accidents"
"28",0.014854765551277,0.00554190275853701,0.0249448108866009,0.0166205579660953,0.00119846787032348,0.0320188735464045,15,2,"Transport accidents"
"29",0.0156767778092237,0.00603882409919237,0.0264411544362871,0.0222081166840766,0.00695536580425591,0.0374603044658861,15,2,"Transport accidents"
"30",0.0125493186114083,0.00247729225694204,0.023252612323721,0.0128244702951532,-0.00443865722057515,0.0300496605010582,15,2,"Transport accidents"
"31",0.00982631839712592,-0.000531116761342165,0.0206553678409102,0.0157581859634641,-0.00190395270365549,0.033442071571464,15,2,"Transport accidents"
"32",0.00336181101537416,-0.00835551056204118,0.0137839980358614,-0.00460983459195538,-0.0224684739573763,0.0132005758902998,15,2,"Transport accidents"
"33",0.000920205722405207,-0.0112814605075925,0.0114351774779046,-0.0068419625229191,-0.0257681598325964,0.0120548945004236,15,2,"Transport accidents"
"34",0.0012945364896684,-0.00959652135918445,0.0109245194956864,-0.00433225342269108,-0.0203592822339008,0.0116675917172734,15,2,"Transport accidents"
"35",0.00500406971200684,-0.00353480941781304,0.0134799951595486,0.00792665436991185,-0.00456239033497215,0.0204325075779241,15,2,"Transport accidents"
"36",0.00542301893514374,-0.00214416524824363,0.0127284377465317,0.00366233627815369,-0.0061601246997831,0.0134989579700866,15,2,"Transport accidents"
"37",0.00363357706731881,-0.00440641991697392,0.0123138937187566,0.00318687986174354,-0.00512666380115646,0.0119972041125733,25,2,"Transport accidents"
"38",0.0009769062455183,-0.00761187413915805,0.00930115809553483,0.000704077947931594,-0.00812130340260778,0.00939699845847696,25,2,"Transport accidents"
