"","model.1.mean","model.1.ll","model.1.ul","model.2.mean","model.2.ll","model.2.ul","age","sex","cause"
"1",0.0170309530907425,0.000857763949585942,0.0327787543118976,0.0158742733190891,-0.000937855467360665,0.0318124774320361,0,2,"Accidental drowning and submersion"
"2",0.0172454683541022,0.00104768128484344,0.0330495187742586,0.0159456064427132,-0.000970485071249035,0.0320018249311855,0,2,"Accidental drowning and submersion"
"3",0.0185393001084709,0.0019001804507666,0.0348336394992318,0.0161208366721653,-0.00147657961193654,0.0326336728041809,0,2,"Accidental drowning and submersion"
"4",0.0215156402934351,0.00455385429686285,0.0384657723512037,0.0186065206179905,0.00114296617372869,0.0359887178764074,0,2,"Accidental drowning and submersion"
"5",0.0238701776033454,0.00676900962188796,0.0411565777763002,0.0201284122457274,0.00276681533770735,0.0378781209762525,0,2,"Accidental drowning and submersion"
"6",0.0266339784967953,0.00932495078418167,0.0445523851131525,0.0224566529776637,0.00509710727062509,0.041292924720737,0,2,"Accidental drowning and submersion"
"7",0.0277618319796155,0.0102001833031786,0.0461001944277516,0.0232534267644402,0.0056616814453204,0.0426299820729307,0,2,"Accidental drowning and submersion"
"8",0.027450733517359,0.00950900975739817,0.0461920954945206,0.0233506428485102,0.0053199359960375,0.0434635892783937,0,2,"Accidental drowning and submersion"
"9",0.0260293955521121,0.00792565351783646,0.044777619576122,0.0219035339258989,0.0036365988601465,0.0416652437272446,0,2,"Accidental drowning and submersion"
"10",0.023188069092054,0.00539544962071593,0.0411357291518241,0.0194938760196787,0.0012151123775535,0.0379267239046881,0,2,"Accidental drowning and submersion"
"11",0.021015759735955,0.0040008519831623,0.0379940970383779,0.0184043591253074,0.000959661789199602,0.0357472429933419,0,2,"Accidental drowning and submersion"
"12",0.0187239226796056,0.00252789469098961,0.034706222455042,0.0168773671165057,0.000200378875674579,0.0330303808849473,0,2,"Accidental drowning and submersion"
"13",0.0186907208763009,-0.00470849177199397,0.0398764376184587,0.0109730353211726,-0.020636680587363,0.0425340799092704,5,2,"Accidental drowning and submersion"
"14",0.0186594708108831,-0.00577154855256519,0.0403330075663999,0.00585115074691667,-0.0259876733136818,0.0375924203818353,5,2,"Accidental drowning and submersion"
"15",0.0262205038362129,0.00173453580056215,0.048922770353524,0.0187565338226542,-0.0177973514835844,0.0551019010151113,5,2,"Accidental drowning and submersion"
"16",0.0367621399636699,0.0120991380958162,0.0624184187301764,0.0365711841527546,-0.00665338338570155,0.0793997075854507,5,2,"Accidental drowning and submersion"
"17",0.0494064985628722,0.024251573735746,0.0795193167491174,0.0763575280793698,0.0356002861393012,0.118273127351629,5,2,"Accidental drowning and submersion"
"18",0.0481123742512547,0.0233358205622157,0.0751425014522646,0.0452830384844021,0.00375454691898681,0.0858609128368602,5,2,"Accidental drowning and submersion"
"19",0.0542956246189184,0.0280821771825179,0.08481147571334,0.0736806718277152,0.03354365107719,0.114256553116848,5,2,"Accidental drowning and submersion"
"20",0.0525524543000857,0.0257397693813656,0.0843133938652224,0.0715660892800751,0.0270811872745034,0.116291299815306,5,2,"Accidental drowning and submersion"
"21",0.0464361425878743,0.019430764156733,0.0780631138200382,0.0645352703270839,0.0129174702268473,0.11716605942677,5,2,"Accidental drowning and submersion"
"22",0.0359024054000168,0.00925459340352152,0.0633254991317914,0.0346868259099458,-0.0139423489654426,0.0829574538482808,5,2,"Accidental drowning and submersion"
"23",0.0264414800911406,0.000727482392391086,0.0501628196560367,0.0156826444167233,-0.0236339063676581,0.054749822931195,5,2,"Accidental drowning and submersion"
"24",0.0222664720623052,-0.000427319619822491,0.0434571064123267,0.0185687611053165,-0.0121935105213726,0.0496385765587183,5,2,"Accidental drowning and submersion"
"25",0.0125725698297623,-0.00635970899539874,0.0301830846193807,0.0107722815645929,-0.00709948461590636,0.027745018467295,15,2,"Accidental drowning and submersion"
"26",0.0129293406903371,-0.00633138750111519,0.0307950274523563,0.0112260867143977,-0.00679898378802111,0.0284897590383777,15,2,"Accidental drowning and submersion"
"27",0.0158227339866728,-0.00365503720899318,0.0347942267820603,0.0123780447391919,-0.00619398074434628,0.0305522479791865,15,2,"Accidental drowning and submersion"
"28",0.0196643099564701,-0.00026859044234832,0.0408090827475827,0.0141644796036533,-0.00492651933720246,0.0338284448565514,15,2,"Accidental drowning and submersion"
"29",0.0217500139452654,0.0014303778182471,0.043893694113306,0.0150549177591426,-0.00429695300199849,0.0352670853408935,15,2,"Accidental drowning and submersion"
"30",0.022481191095051,0.00175726472568742,0.0450018666170199,0.0151041304562121,-0.00473116183250632,0.0354267163324761,15,2,"Accidental drowning and submersion"
"31",0.0249887387560212,0.00382621203526934,0.049612383249836,0.0173780080065432,-0.00242128768048943,0.0395263718918843,15,2,"Accidental drowning and submersion"
"32",0.0253991053580265,0.00389149993897146,0.0511731196097674,0.018440419351825,-0.00163692249913115,0.042303574887888,15,2,"Accidental drowning and submersion"
"33",0.022600719166648,0.00120412016576737,0.04671701912399,0.0165790331793622,-0.00349483170291752,0.0388164115286149,15,2,"Accidental drowning and submersion"
"34",0.0193804238435151,-0.00145391002123306,0.0412776628426402,0.0147025646139237,-0.00495487823634262,0.0352203461831276,15,2,"Accidental drowning and submersion"
"35",0.0160338531849859,-0.00390179969688138,0.0355530984649802,0.0129992478660837,-0.00574444950090235,0.0316712394386394,15,2,"Accidental drowning and submersion"
"36",0.0134153831432935,-0.00547552749172575,0.0312583507881801,0.011080770075007,-0.00688424931730883,0.0282189042561521,15,2,"Accidental drowning and submersion"
