"","age","sex","corr.temp.terms","corr.state.intercept.terms","corr.month.intercept.terms","corr.state.month.intercept.terms","corr.state.slope.terms","corr.month.slope.terms","corr.state.month.slope.terms","scale.new.temp.slope"
"1",5,1,0.946029717258952,0.999998927692109,0.999977894233804,0.992101679386386,0.999936434210249,0.997606372626682,0.93944201383898,0.162039238490237
"2",15,1,0.97932321660646,0.999997816498303,0.999404545965886,0.990635969570206,0.999980685324133,0.993502146331941,0.963297722031029,0.160420957207039
"3",25,1,0.941688858138285,0.999996453629933,0.999717643419339,0.98830198836359,0.999984174618905,0.993119961860134,0.972593140617099,0.153928066694352
"4",35,1,0.879227831212757,0.999995915243105,0.999172722813054,0.99132161083743,0.999981193089103,0.985804079304377,0.965576450366651,0.151018204163894
"5",45,1,0.940241742462443,0.999993585161323,0.99772800531089,0.992195160266701,0.999982696166341,0.996656749304067,0.95744389152037,0.147486638772287
"6",65,1,0.884827362265626,0.999998075131186,0.995167397949611,0.992099548174769,0.999964724464733,0.997055120731846,0.934804254205735,0.149973643912529
"7",75,1,0.922202527989401,0.99999818206021,0.997146899979896,0.982354986493415,0.999937636313446,0.982218204661528,0.912871820495545,0.152790796351381
"8",85,1,0.849846752642523,0.999998309925103,0.997518003467623,0.983165829702322,0.999931369377008,0.98595132208042,0.934379199963713,0.156703456784349
