"","model.1.mean","model.1.ll","model.1.ul","model.2.mean","model.2.ll","model.2.ul","age","sex"
"1",0.0160976965618708,0.0042171011152925,0.0281068407129627,0.0149352194825934,-0.0020795901994961,0.0319270170962105,5,1
"2",0.0203943572403554,0.00838722463342356,0.0336362148968876,0.0249254025330208,0.00765191480490436,0.0422278887679558,5,1
"3",0.0199409331709416,0.00716502162833979,0.0339331549655244,0.0200443960000402,0.000660914289797851,0.0393724422438274,5,1
"4",0.0218190136728601,0.00763941342325852,0.0389762025206192,0.0376958590140201,0.0159545130051694,0.0595377133593028,5,1
"5",0.0108069033691649,-0.00318845167884372,0.0246287910461972,0.00939109733104472,-0.0116834169144956,0.0304063149904299,5,1
"6",0.00158946417687017,-0.0151272194072722,0.0159135337521938,-0.0058327816081412,-0.0282279065902648,0.0165018256178156,5,1
"7",-0.00269883461899977,-0.021078258720427,0.0126145207772183,-0.0139798395511505,-0.0371222335433898,0.00910585615499645,5,1
"8",-0.000846287605896923,-0.0188359352581671,0.0143167073968422,-0.0119993241485716,-0.0361297999562537,0.01199134384624,5,1
"9",0.00746422603539785,-0.00819874045421004,0.0230773458984144,0.0135250361632183,-0.0131583680803537,0.0403171537487363,5,1
"10",0.0119382049202757,-0.002276905819663,0.0272490759017028,0.0184147422271717,-0.00490428614616323,0.0417604655667672,5,1
"11",0.0121447028510536,-0.000881003773679691,0.0252194979765728,0.0110913873402011,-0.00824100314638686,0.0304271053945671,5,1
"12",0.0135482546927072,0.0020105829220028,0.024997473780081,0.0126463783713901,-0.00289573021049991,0.0282444213539116,5,1
"13",0.0180724277123339,0.0124369153509902,0.0238703802077968,0.0187237285019139,0.0109970723297241,0.0264451205299586,15,1
"14",0.0181951742380101,0.0123801711693328,0.0241250656302657,0.0189255344801984,0.0109762709122747,0.0268753818490142,15,1
"15",0.0172120285551936,0.010809296993093,0.0235446830951078,0.0159273768409874,0.00685811297832352,0.0249870014931792,15,1
"16",0.0181294854476441,0.0112019099095493,0.0253156072010706,0.0197573818896515,0.00881565419958376,0.0306895076287957,15,1
"17",0.0178764971443248,0.0109044985336792,0.0251996853895458,0.0202257362533467,0.00963737794367225,0.0308061715613611,15,1
"18",0.0155530771979259,0.00811937544424464,0.0230488122118675,0.0156874181328996,0.00381244165659917,0.0275521274116934,15,1
"19",0.0133945819629104,0.0056733502994886,0.0209995903932271,0.0138181563485135,0.00165274014360111,0.0259774990081405,15,1
"20",0.0107785398674711,0.00264944687859427,0.018410382977993,0.00861682612878158,-0.00371770359704977,0.0209392026500145,15,1
"21",0.00939142553705123,0.00086122892971887,0.01710402386969,0.00495970399466418,-0.00825139191866228,0.0181588178648061,15,1
"22",0.0104357626008038,0.00283196950319959,0.0175089429803867,0.00837958863910183,-0.00277450131835342,0.0195219239501168,15,1
"23",0.0128310382069349,0.00634975807341523,0.019071304273149,0.0115270774956377,0.00254483409207134,0.0205128300265654,15,1
"24",0.0169345253848496,0.0115059167242139,0.0225328580956037,0.0184769950916337,0.0113392809211688,0.0256200328076804,15,1
"25",0.0145069393050704,0.00832563294348118,0.0209633795126447,0.0159343051557853,0.00771927203187738,0.0241440921438437,25,1
"26",0.014721939885019,0.0083942143262394,0.0211753051688,0.0158245860127238,0.00751885798059241,0.0241319186664724,25,1
"27",0.0131535881522233,0.00588016332897399,0.0200986448354537,0.0103648104125611,0.000718350554743964,0.0199984629325826,25,1
"28",0.0159684668634223,0.00824605036137232,0.0239131164365542,0.0182476596086078,0.00661556527999096,0.029872843035544,25,1
"29",0.0165930930823726,0.00876404061730875,0.0245700060611245,0.01670183043689,0.00530239820781645,0.0280932435690637,25,1
"30",0.0174028935954883,0.00909187677872414,0.026055067201137,0.0166378776396374,0.00367976103174831,0.029575871092058,25,1
"31",0.0194029187567248,0.0107104720985252,0.0292450068729488,0.0275497672040382,0.0142426790272918,0.0408604822007638,25,1
"32",0.0149412163746359,0.006340368902439,0.0238557777069692,0.0145699073399147,0.00115345864386943,0.0279665855699845,25,1
"33",0.0116223982463679,0.00290081158736497,0.0203984071763874,0.0144165657926512,0.000398247870940263,0.0284352017708769,25,1
"34",0.00581553446586978,-0.00332388337431561,0.0138820647515212,-0.000485863255646266,-0.0124853142215797,0.0114918041597391,25,1
"35",0.00601174707659572,-0.00185029166740559,0.0131184427985216,0.0021599455568177,-0.00755061366476675,0.0118713577758546,25,1
"36",0.0113878858933733,0.00543361560381179,0.0173801063761711,0.0124729579949457,0.00491195468879421,0.0200449562884943,25,1
"37",0.0100409860798941,0.00367704061198339,0.0163037364116639,0.00975541095234075,0.000733019278991928,0.0187735028233936,35,1
"38",0.0119615110924394,0.00559071993152749,0.0185263720626677,0.0142681723485557,0.00515800828766308,0.0233828575358765,35,1
"39",0.0111476300942423,0.00398338953730984,0.0181168181474942,0.0086143210898665,-0.00206201912450588,0.0192775093553718,35,1
"40",0.0128137872565331,0.0051253581575777,0.0206491275569857,0.0140920056869139,0.001059723313391,0.027111594804252,35,1
"41",0.0137983502069846,0.00601049822455308,0.0218717606137559,0.0141821758801497,0.00150377154793734,0.0268461977745728,35,1
"42",0.0147637802776885,0.00655233495331219,0.0236323138947406,0.0190504833779061,0.00453848632927339,0.0335518403549543,35,1
"43",0.0139015664247729,0.00552028857176426,0.0228129111866068,0.018115423584151,0.00342513223108321,0.0328052891330016,35,1
"44",0.0109410966221935,0.00211228373634351,0.0194564110982453,0.00723567709017237,-0.00783806735587081,0.0222784767760264,35,1
"45",0.00973092623595986,0.000782508301719642,0.0181449059408507,0.00482189589967754,-0.0107085824492315,0.0203332167434642,35,1
"46",0.0107493705693729,0.00281227489302256,0.0187119353831295,0.0123583124081279,-0.00104593167265968,0.0257480168027818,35,1
"47",0.010730118251097,0.00375197061138335,0.0178380877073477,0.0127562446503859,0.00208353158713953,0.0234317486994171,35,1
"48",0.00875735580053102,0.00237342488621038,0.0148740538389056,0.00659852786931005,-0.00184248682412945,0.0150483290813542,35,1
"49",0.00782814170771354,0.000647112538234134,0.0146802596861362,0.0065457097586797,-0.00290995579657057,0.0159910411597142,45,1
"50",0.00964243716657456,0.00238260727090769,0.0165923782707263,0.00802928641309448,-0.00145670187437719,0.0175120967015164,45,1
"51",0.0136720686321698,0.00592638824663524,0.0212746112903536,0.0115405820466639,0.00061752459201023,0.0224458090189054,45,1
"52",0.0213117351688845,0.0125191226964237,0.0313234524354929,0.0307059828172803,0.016746156397352,0.0446769160097558,45,1
"53",0.0219288402859423,0.0131137557568306,0.0315787219158349,0.0233400414905867,0.00957211076544336,0.037087087235631,45,1
"54",0.0216925876060332,0.0124274060739037,0.0317955006857874,0.0262727392717632,0.0107972932091331,0.0417469732932673,45,1
"55",0.0187053103713206,0.00919004082133488,0.028323117671072,0.0152667997242534,-0.000206405308251981,0.0307117763180825,45,1
"56",0.0190439541498724,0.00950091696944686,0.0293255061057209,0.0246273782067648,0.0085397487879466,0.0407112812863019,45,1
"57",0.0161448985745556,0.00662539153317395,0.0260805243542087,0.018230961227498,0.0017616721037741,0.034689628703021,45,1
"58",0.0124188111782214,0.00344423019618922,0.0212685368440173,0.0109827498131841,-0.00322402067340607,0.0251633375469451,45,1
"59",0.00979991666487604,0.00192059508174844,0.017476539172596,0.00906495380864803,-0.00210684505290222,0.0202376849021488,45,1
"60",0.00754290025565978,0.000549886568760052,0.0142358387347028,0.00581884952459215,-0.00308391444239681,0.0147253763724086,45,1
"61",0.0074087217527559,-0.000607738732017023,0.0151248467475635,0.00567890445287763,-0.00623274295143,0.0175794833421337,65,1
"62",0.00796351903906141,-0.000166930634986483,0.0158452222814535,0.00522076429517983,-0.00664947203443253,0.017091123373552,65,1
"63",0.0112440719193439,0.00264693907075871,0.0207189443797073,0.018573343941198,0.00451325731946146,0.0326283682823378,65,1
"64",0.00938736188650202,-0.000301073165376538,0.0190695359674819,0.00881355425592018,-0.00879439234080947,0.0264014721034326,65,1
"65",0.00800457560754061,-0.00252063596962535,0.0178283464077958,-0.00094339934050898,-0.018630058982066,0.0166791513921645,65,1
"66",0.0108422208776032,0.000523968967215188,0.0218950051468086,0.0170688727081609,-0.00293560043185067,0.0370820854545758,65,1
"67",0.0116395727449886,0.00110852695706013,0.0233361404256974,0.0223662667283805,0.001974561117521,0.0428083836492993,65,1
"68",0.00905582005246038,-0.00193387774480352,0.0199122595317323,0.00477566576895977,-0.0163877137776452,0.0258556603616023,65,1
"69",0.00811541939122625,-0.00287748406368108,0.0186578853856944,0.00204728979597648,-0.0193200860447884,0.023347058190324,65,1
"70",0.00909775343803317,-0.000621754111688808,0.0191248813629126,0.0145339022996359,-0.00327992309602375,0.0323573431944773,65,1
"71",0.00750526878041042,-0.00134484961628546,0.0160286181074152,0.00435693657981163,-0.00949582912812698,0.0182039415454653,65,1
"72",0.00823485595936707,0.00068974553198525,0.0158033684982014,0.00944651246959537,-0.00131295396644752,0.0202268884085903,65,1
"73",0.0213432890945329,0.0115343715734752,0.0325568410266017,0.0285190976075855,0.0159592942104916,0.0410847593036705,75,1
"74",0.0173693383926087,0.00774335578037397,0.0272519837845602,0.0159606341573578,0.00312553941599038,0.028795639559045,75,1
"75",0.0189168747994771,0.0080266416815296,0.0313071322780867,0.0266236239640285,0.0115349566149083,0.0417096100059446,75,1
"76",0.00994380294033839,-0.00283852962594368,0.0223094895265698,0.00923554230111679,-0.0103759892892388,0.02882712062981,75,1
"77",0.00131988684164812,-0.013942071228284,0.014288578106173,-0.00975475520104674,-0.029023966649118,0.0094285266747168,75,1
