"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.253415987506962,2.09269442573592,4.68900590982833
"2",0,2,0.288365497535121,1.97573156045625,4.38632737274108
"3",5,1,0.170895126027165,0.358153581445917,0.608559508567499
"4",5,2,0.179252103303812,0.355903684979566,0.585887941881359
"5",15,1,0.130805821307793,0.436449140968626,0.880283892227729
"6",15,2,0.16274089649434,0.429583345721673,0.732109230672097
"7",25,1,0.135960096033852,0.583763911773583,1.41432876054713
"8",25,2,0.149057661226733,0.491745301122056,1.04555701173967
"9",35,1,0.130665697024681,0.786023069139382,2.22349684969864
"10",35,2,0.143600298011829,0.656779797299175,1.59653020280925
"11",45,1,0.153629303971872,1.23663786018987,3.29062729060722
"12",45,2,0.167223419322557,1.03102920275116,2.34128001826684
"13",55,1,0.220809316000536,2.01792202364988,4.52893985922729
"14",55,2,0.206939160928885,1.64303361028165,3.46917561306567
"15",65,1,0.324760291244328,3.53008560963876,7.65998156088526
"16",65,2,0.293342582542954,2.79466600500931,6.01713247978826
"17",75,1,0.668218605813173,7.86778028153474,17.1460761619231
"18",75,2,0.450281281699674,5.7258115732895,12.6700165772399
"19",85,1,2.03238489130523,24.9977577616862,55.9039555275593
"20",85,2,1.24147438111345,14.7349832006349,34.8515267420308
