"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.274497975780061,0.304194566996731,0.597030963092117
"2",0,2,0.262435280412152,0.28521529644401,0.578232324162689
"3",5,1,0.115721028840041,0.123320628547011,0.266093186966591
"4",5,2,0.119881689553612,0.126889304166825,0.275187040922121
"5",15,1,0.136653500202953,0.149579868366199,0.274486379507595
"6",15,2,0.134411231907642,0.14890150330633,0.270051132986537
"7",25,1,0.196524191084355,0.234606539340386,0.372190038481598
"8",25,2,0.191582030462813,0.22941597460095,0.376143883469702
"9",35,1,0.182955091998822,0.387374201935619,0.635248928580309
"10",35,2,0.181081064652159,0.376052888630927,0.619775954726224
"11",45,1,0.171026453163729,0.584899176368469,1.18484459539659
"12",45,2,0.162332012221021,0.518591934262031,1.05853225091159
"13",55,1,0.229310109672685,0.999240850831664,2.06227078440209
"14",55,2,0.204135521451083,0.840679912930892,1.74912566851094
"15",65,1,0.333262784995576,1.99644438704032,4.27695082868372
"16",65,2,0.237480773456919,1.60536346712344,3.42558270888103
"17",75,1,0.544137816180289,5.06538318304655,11.2393848587833
"18",75,2,0.293701700468393,3.84760591717806,8.53990961914261
"19",85,1,1.81859634334617,16.3991121763114,37.5673630816863
"20",85,2,0.781735605935189,10.3825011267349,25.2867318233211
