"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.339472843260933,0.76466950278535,1.3855816792083
"2",0,2,0.390675655632371,0.736849229598328,1.27549844550473
"3",5,1,0.212848743423414,0.258821540825797,0.424907981200762
"4",5,2,0.212561087619298,0.248867388749002,0.42154740199355
"5",15,1,0.16328571967198,0.373825678823363,0.581849155256058
"6",15,2,0.194500319373663,0.335611848445474,0.498454086980598
"7",25,1,0.147175565608337,0.480901250066305,0.945769537987533
"8",25,2,0.160672838258019,0.430457899796786,0.762292458319433
"9",35,1,0.134766677200196,0.898293008102384,1.9223009927076
"10",35,2,0.150297258147573,0.635043560745008,1.32128420438269
"11",45,1,0.155701415646617,1.71477830975759,3.92578199315695
"12",45,2,0.162967748233911,1.15165492854586,2.57444535169173
"13",55,1,0.191456518904023,3.20887155040417,7.29845887116371
"14",55,2,0.174384082270661,2.13165006520842,4.81777258521143
"15",65,1,0.300580751003067,6.04572943300992,13.8341226760916
"16",65,2,0.222521968927221,4.06464385927291,9.23803612878145
"17",75,1,0.552996550883715,12.913444555554,31.3883819468411
"18",75,2,0.292252187448073,8.26881024178905,20.0743042462966
"19",85,1,1.79585713233235,39.2869536439886,100.619282009333
"20",85,2,0.653853512597559,21.3311812700416,57.9632969215636
