"","start.year.month.max","start.pred.max","start.year.month.min","start.pred.min","start.seas.index","end.year.month.max","end.pred.max","end.year.month.min","end.pred.min","end.seas.index","diff","per.year.perc","per.decade.perc","age","sex","cause"
"175",6,257.633691575978,1,196.274999477753,1.31261593306069,438,167.295138951589,444,126.14995461349,1.32616091273409,0.0135449796733969,0.0366080531713428,0.366080531713428,0,1,"External"
"167",6,178.526374170868,1,142.974815678467,1.24865608900208,438,114.947699287775,444,91.1223679653408,1.26146523465562,0.0128091456535457,0.0346193125771506,0.346193125771506,0,2,"External"
"192",7,459.779848836292,12,259.289364157934,1.77323065421318,439,144.776226941299,444,82.1013017186432,1.76338528026558,-0.00984537394759188,-0.0266091187772754,-0.266091187772754,5,1,"External"
"182",7,198.520960914841,12,135.038327273759,1.47010826424402,439,83.1176585601132,444,56.8699774489739,1.46153844767549,-0.00856981656853217,-0.0231616664014383,-0.231616664014383,5,2,"External"
"185",7,2839.50773537404,1,2126.78229203557,1.3351191356104,439,1527.61990616033,433,1147.71869335151,1.33100551120193,-0.00411362440847585,-0.0111179038066915,-0.111179038066915,15,1,"External"
"187",7,700.426097076923,2,601.960693914006,1.16357447281597,439,396.586323292072,434,341.581477809264,1.16102994177431,-0.00254453104165675,-0.00687711092339662,-0.0687711092339662,15,2,"External"
"186",7,2120.27899647531,1,1707.22135056453,1.2419473290761,439,1626.31896291764,433,1327.6435277725,1.22496658846841,-0.0169807406076932,-0.0458938935343059,-0.458938935343059,25,1,"External"
"206",8,501.597451961939,1,448.319848087289,1.1188383786753,439,470.834246153889,433,427.897743202883,1.10034290582983,-0.018495472845464,-0.0499877644472001,-0.499877644472001,25,2,"External"
"184",7,1141.05783094183,1,975.604068523432,1.16959109515483,439,1383.59478429054,433,1200.17142728292,1.15283096467551,-0.0167601304793255,-0.0452976499441228,-0.452976499441228,35,1,"External"
"201",8,313.056211202564,1,290.912158666377,1.07611937788266,439,543.601224039805,433,512.902234039371,1.05985349246515,-0.0162658854175135,-0.0439618524797662,-0.439618524797662,35,2,"External"
"190",7,813.049200901095,1,731.145120686709,1.11202164645161,439,1592.87274816816,433,1432.67707677417,1.11181561706472,-0.000206029386884632,-0.000556836180769275,-0.00556836180769275,45,1,"External"
"207",8,254.158844207354,2,248.235871750539,1.02386026006252,440,687.759780043709,434,670.702839116361,1.0254314428575,0.00157118279497293,0.00424643998641331,0.0424643998641331,45,2,"External"
"213",8,759.976968301816,1,704.0362123986,1.07945721387346,440,1382.95567280364,433,1282.95929583712,1.07794197157383,-0.00151524229962563,-0.00409524945844765,-0.0409524945844765,55,1,"External"
"24",10,290.459216116954,3,283.486484664769,1.02459634525586,442,586.545298676577,435,574.121647941081,1.02163940478477,-0.00295694047109429,-0.00799173100295755,-0.0799173100295755,55,2,"External"
"209",8,646.712163205492,2,622.146145638113,1.03948592744585,440,970.996513439007,434,931.117466019334,1.04282923355542,0.00334330610957401,0.00903596245830813,0.0903596245830813,65,1,"External"
"71",12,348.482536163717,6,321.848551777761,1.08275315902104,444,497.490224369511,438,463.00013599038,1.07449260960875,-0.00826054941228516,-0.0223258092223923,-0.223258092223923,65,2,"External"
"77",12,512.987622529709,6,475.476834938085,1.07889088349911,444,929.399008603913,438,871.850622765898,1.06600716262087,-0.0128837208782362,-0.0348208672384762,-0.348208672384762,75,1,"External"
"61",12,392.194814015872,6,341.577953504561,1.14818538489381,444,689.989244288076,438,608.640125837556,1.13365717276457,-0.0145282121292343,-0.0392654381871197,-0.392654381871197,75,2,"External"
"62",12,255.44831225858,7,220.416446593363,1.15893489894538,444,911.589845673601,439,792.31229232597,1.15054361077432,-0.00839128817106349,-0.0226791572190905,-0.226791572190905,85,1,"External"
"66",12,302.544258299459,7,249.550816426826,1.21235531356465,444,1223.63909019143,439,1026.39618716379,1.19217033879741,-0.02018497476724,-0.0545539858574054,-0.545539858574054,85,2,"External"
