sex,age,assigned_deaths,age_str
Men,0,0,0-14
Men,15,236,15-44
Men,45,2328,45-64
Men,65,3499,65-74
Men,75,6617,75-84
Men,85,6427,85+
Women,0,2,0-14
Women,15,146,15-44
Women,45,1197,45-64
Women,65,1787,65-74
Women,75,4354,75-84
Women,85,6772,85+
