"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.363786368508914,0.421051377971694,0.720769759089942
"2",0,2,0.335325590212359,0.377762156488356,0.679038357961983
"3",5,1,0.138517412091356,0.154061211631977,0.300297525804562
"4",5,2,0.135854710146248,0.146989194762996,0.29876581275766
"5",15,1,0.163205220338723,0.17856100033221,0.306549935724851
"6",15,2,0.146294002538341,0.163949057435816,0.29186502527189
"7",25,1,0.191579248672067,0.21724273989611,0.35226777210444
"8",25,2,0.181870258111355,0.205672068471491,0.346589212917087
"9",35,1,0.238507409746216,0.294473219267225,0.458445061287226
"10",35,2,0.236489418865381,0.287906401645301,0.442816844476154
"11",45,1,0.210605796251799,0.451404355816026,0.719190307016466
"12",45,2,0.220846182611128,0.435275174233606,0.654184911271792
"13",55,1,0.226916997253022,0.674634504786232,1.29915299509919
"14",55,2,0.224347036495029,0.581870276323705,1.06129701110144
"15",65,1,0.321498357999589,1.27334165508825,2.6153093672278
"16",65,2,0.266942441316064,0.957880014224661,1.89813131513326
"17",75,1,0.597577515305059,3.00954335392272,6.12212488375193
"18",75,2,0.450279726597496,1.8650869379616,3.77709453967512
"19",85,1,2.24962180826882,9.48677273346586,19.4907695637718
"20",85,2,1.01906166711795,4.72123883405602,9.59862321666094
