e,cprov,nprov,year,quarter,pop_tot,pop_men,pop_wom,pop25_39,pop40_49,pop50_64,pop65,suicide_men,suicide_wom,suicide_total,suicide_age40_49,suicide_age50_64,suicide_age65,suicide_age25_39,rate_tot_lag0,rate_men_lag0,rate_wom_lag0,rate_tot_lag3,rate_men_lag3,rate_wom_lag3,rate_tot_lag6,rate_men_lag6,rate_wom_lag6,rate_tot_lag9,rate_men_lag9,rate_wom_lag9,rate_tot_lag12,rate_men_lag12,rate_wom_lag12,rate_tot_lag15,rate_men_lag15,rate_wom_lag15,rate_tot_lag18,rate_men_lag18,rate_wom_lag18,rate_tot_lag21,rate_men_lag21,rate_wom_lag21,rate_tot_lag24,rate_men_lag24,rate_wom_lag24
1,1,Álava,1999,1,203686,99847,103839,71290,41450,49006,41940,1,3,4,0,0,3,1,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3,11.71,7.08,19.32,13.56,8.41,21.72,15.99,9.9,24.64,13.96,7.95,22.44,14.6,7.7,24.86,15.28,8.38,25.84
2,1,Álava,1999,2,204566,100265,104300,71493,41586,49242,42244,5,0,5,1,1,2,1,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3,11.71,7.08,19.32,13.56,8.41,21.72,15.99,9.9,24.64,13.96,7.95,22.44,14.6,7.7,24.86
3,1,Álava,1999,3,205456,100701,104755,71697,41723,49478,42558,3,2,5,2,1,1,1,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3,11.71,7.08,19.32,13.56,8.41,21.72,15.99,9.9,24.64,13.96,7.95,22.44
4,1,Álava,1999,4,206368,101173,105195,71900,41860,49714,42894,3,0,3,0,0,1,2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3,11.71,7.08,19.32,13.56,8.41,21.72,15.99,9.9,24.64
5,1,Álava,2000,1,207275,101635,105640,72100,42019,49931,43225,3,1,4,1,1,1,1,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3,11.71,7.08,19.32,13.56,8.41,21.72
6,1,Álava,2000,2,208171,102078,106094,72292,42223,50110,43547,3,1,4,0,2,0,2,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3,11.71,7.08,19.32
7,1,Álava,2000,3,209088,102532,106557,72483,42428,50292,43886,4,1,5,0,2,3,0,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15,11.85,7.67,18.3
8,1,Álava,2000,4,210047,103008,107039,72673,42633,50482,44259,1,1,2,0,0,1,1,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3,8.84,4.82,15.15
9,1,Álava,2001,1,210998,103488,107510,72869,42839,50657,44633,6,3,9,0,2,4,3,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5,10.34,6.09,17.3
10,1,Álava,2001,2,211934,103975,107959,73080,43046,50801,45007,1,1,2,0,0,1,1,7.14,3.99,11.81,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73,9.72,4.87,17.5
11,1,Álava,2001,3,212867,104458,108409,73296,43257,50938,45376,7,3,10,0,2,4,4,7.9,4.69,13.26,7.14,3.99,11.81,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9,11.52,6.71,18.73
12,1,Álava,2001,4,213795,104936,108860,73525,43477,51062,45732,3,2,5,0,1,3,1,9,4.68,15.54,7.9,4.69,13.26,7.14,3.99,11.81,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2,10.26,5.48,16.9
13,1,Álava,2002,1,214799,105464,109337,73792,43695,51270,46042,5,1,6,1,1,3,1,7.98,3.72,14.27,9,4.68,15.54,7.9,4.69,13.26,7.14,3.99,11.81,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85,12.76,6.47,22.2
14,1,Álava,2002,2,215955,106090,109866,74136,43912,51646,46260,5,1,6,0,0,4,2,8.25,6.65,10.58,7.98,3.72,14.27,9,4.68,15.54,7.9,4.69,13.26,7.14,3.99,11.81,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42,9.47,4.52,16.85
15,1,Álava,2002,3,217155,106754,110402,74509,44129,52020,46497,3,0,3,0,2,0,1,10.31,8.25,13.22,8.25,6.65,10.58,7.98,3.72,14.27,9,4.68,15.54,7.9,4.69,13.26,7.14,3.99,11.81,9.75,5.38,16.42,9.44,5.06,16.3,9.13,5.7,14.42
16,1,Álava,2002,4,218444,107491,110953,74939,44346,52388,46772,1,2,3,0,0,1,2,9.56,8.07,11.64,10.31,8.25,13.22,8.25,6.65,10.58,7.98,3.72,14.27,9,4.68,15.54,7.9,4.69,13.26,7.14,3.99,11.81,9.75,5.38,16.42,9.44,5.06,16.3
17,1,Álava,2003,1,219655,108180,111474,75324,44570,52748,47012,4,0,4,0,1,2,1,9.09,7.13,11.8,9.56,8.07,11.64,10.31,8.25,13.22,8.25,6.65,10.58,7.98,3.72,14.27,9,4.68,15.54,7.9,4.69,13.26,7.14,3.99,11.81,9.75,5.38,16.42
18,1,Álava,2003,2,220710,108775,111935,75622,44811,53094,47183,4,2,6,0,1,4,1,8.54,5.38,12.93,9.09,7.13,11.8,9.56,8.07,11.64,10.31,8.25,13.22,8.25,6.65,10.58,7.98,3.72,14.27,9,4.68,15.54,7.9,4.69,13.26,7.14,3.99,11.81
19,1,Álava,2003,3,221783,109372,112411,75925,45054,53452,47352,6,1,7,0,3,3,1,10.26,6.64,15.31,8.54,5.38,12.93,9.09,7.13,11.8,9.56,8.07,11.64,10.31,8.25,13.22,8.25,6.65,10.58,7.98,3.72,14.27,9,4.68,15.54,7.9,4.69,13.26
20,1,Álava,2003,4,222892,109974,112918,76236,45301,53837,47518,8,1,9,0,2,1,6,9.49,6.76,13.16,10.26,6.64,15.31,8.54,5.38,12.93,9.09,7.13,11.8,9.56,8.07,11.64,10.31,8.25,13.22,8.25,6.65,10.58,7.98,3.72,14.27,9,4.68,15.54
21,1,Álava,2004,1,224001,110581,113420,76534,45570,54231,47667,2,1,3,0,0,1,2,9.85,5.52,15.5,9.49,6.76,13.16,10.26,6.64,15.31,8.54,5.38,12.93,9.09,7.13,11.8,9.56,8.07,11.64,10.31,8.25,13.22,8.25,6.65,10.58,7.98,3.72,14.27
22,1,Álava,2004,2,225109,111197,113913,76803,45881,54646,47780,8,2,10,1,2,3,4,9.09,5.65,13.47,9.85,5.52,15.5,9.49,6.76,13.16,10.26,6.64,15.31,8.54,5.38,12.93,9.09,7.13,11.8,9.56,8.07,11.64,10.31,8.25,13.22,8.25,6.65,10.58
23,1,Álava,2004,3,226273,111826,114448,77089,46203,55063,47918,7,0,7,2,2,2,1,8.69,6.97,10.91,9.09,5.65,13.47,9.85,5.52,15.5,9.49,6.76,13.16,10.26,6.64,15.31,8.54,5.38,12.93,9.09,7.13,11.8,9.56,8.07,11.64,10.31,8.25,13.22
24,1,Álava,2004,4,227548,112482,115066,77409,46549,55485,48105,1,2,3,1,0,0,2,9.9,6.61,14.04,8.69,6.97,10.91,9.09,5.65,13.47,9.85,5.52,15.5,9.49,6.76,13.16,10.26,6.64,15.31,8.54,5.38,12.93,9.09,7.13,11.8,9.56,8.07,11.64
25,1,Álava,2005,1,228713,113082,115630,77675,46886,55845,48306,3,3,6,0,1,1,4,7.99,5.53,11.28,9.9,6.61,14.04,8.69,6.97,10.91,9.09,5.65,13.47,9.85,5.52,15.5,9.49,6.76,13.16,10.26,6.64,15.31,8.54,5.38,12.93,9.09,7.13,11.8
26,1,Álava,2005,2,229657,113568,116088,77832,47203,56083,48539,8,0,8,1,1,4,2,5.5,4.18,7.35,7.99,5.53,11.28,9.9,6.61,14.04,8.69,6.97,10.91,9.09,5.65,13.47,9.85,5.52,15.5,9.49,6.76,13.16,10.26,6.64,15.31,8.54,5.38,12.93
27,1,Álava,2005,3,230603,114062,116540,77957,47506,56324,48816,3,1,4,0,1,1,2,8.68,7.26,10.65,5.5,4.18,7.35,7.99,5.53,11.28,9.9,6.61,14.04,8.69,6.97,10.91,9.09,5.65,13.47,9.85,5.52,15.5,9.49,6.76,13.16,10.26,6.64,15.31
28,1,Álava,2005,4,231552,114571,116980,78019,47781,56571,49181,5,1,6,1,1,1,3,6.46,5.03,8.39,8.68,7.26,10.65,5.5,4.18,7.35,7.99,5.53,11.28,9.9,6.61,14.04,8.69,6.97,10.91,9.09,5.65,13.47,9.85,5.52,15.5,9.49,6.76,13.16
29,1,Álava,2006,1,232493,115064,117429,78080,48040,56864,49510,6,0,6,1,0,4,1,8.71,8.03,9.61,6.46,5.03,8.39,8.68,7.26,10.65,5.5,4.18,7.35,7.99,5.53,11.28,9.9,6.61,14.04,8.69,6.97,10.91,9.09,5.65,13.47,9.85,5.52,15.5
30,1,Álava,2006,2,233421,115525,117895,78138,48267,57250,49766,7,1,8,2,2,4,0,7.43,4.94,10.79,8.71,8.03,9.61,6.46,5.03,8.39,8.68,7.26,10.65,5.5,4.18,7.35,7.99,5.53,11.28,9.9,6.61,14.04,8.69,6.97,10.91,9.09,5.65,13.47
31,1,Álava,2006,3,234388,116014,118374,78238,48504,57625,50022,0,1,1,1,0,0,0,6.87,4.75,9.85,7.43,4.94,10.79,8.71,8.03,9.61,6.46,5.03,8.39,8.68,7.26,10.65,5.5,4.18,7.35,7.99,5.53,11.28,9.9,6.61,14.04,8.69,6.97,10.91
32,1,Álava,2006,4,235436,116559,118877,78423,48760,57978,50275,5,0,5,2,0,2,1,6.15,4.68,8.22,6.87,4.75,9.85,7.43,4.94,10.79,8.71,8.03,9.61,6.46,5.03,8.39,8.68,7.26,10.65,5.5,4.18,7.35,7.99,5.53,11.28,9.9,6.61,14.04
33,1,Álava,2007,1,236446,117113,119333,78575,49011,58338,50522,6,2,8,2,1,3,2,6.94,3.37,11.88,6.15,4.68,8.22,6.87,4.75,9.85,7.43,4.94,10.79,8.71,8.03,9.61,6.46,5.03,8.39,8.68,7.26,10.65,5.5,4.18,7.35,7.99,5.53,11.28
34,1,Álava,2007,2,237380,117686,119692,78663,49252,58709,50757,4,2,6,2,1,1,2,5.22,2.95,8.45,6.94,3.37,11.88,6.15,4.68,8.22,6.87,4.75,9.85,7.43,4.94,10.79,8.71,8.03,9.61,6.46,5.03,8.39,8.68,7.26,10.65,5.5,4.18,7.35
35,1,Álava,2007,3,238324,118235,120087,78740,49490,59085,51009,8,2,10,2,4,4,0,5.05,3.48,7.21,5.22,2.95,8.45,6.94,3.37,11.88,6.15,4.68,8.22,6.87,4.75,9.85,7.43,4.94,10.79,8.71,8.03,9.61,6.46,5.03,8.39,8.68,7.26,10.65
36,1,Álava,2007,4,239289,118737,120552,78796,49723,59471,51298,4,2,6,0,1,2,3,4.55,2.92,6.75,5.05,3.48,7.21,5.22,2.95,8.45,6.94,3.37,11.88,6.15,4.68,8.22,6.87,4.75,9.85,7.43,4.94,10.79,8.71,8.03,9.61,6.46,5.03,8.39
37,1,Álava,2008,1,240225,119227,120998,78838,49957,59821,51609,6,2,8,2,2,2,2,3.27,2,5.01,4.55,2.92,6.75,5.05,3.48,7.21,5.22,2.95,8.45,6.94,3.37,11.88,6.15,4.68,8.22,6.87,4.75,9.85,7.43,4.94,10.79,8.71,8.03,9.61
38,1,Álava,2008,2,241102,119695,121407,78849,50192,60098,51963,1,2,3,1,1,1,0,4.5,3.17,6.3,3.27,2,5.01,4.55,2.92,6.75,5.05,3.48,7.21,5.22,2.95,8.45,6.94,3.37,11.88,6.15,4.68,8.22,6.87,4.75,9.85,7.43,4.94,10.79
39,1,Álava,2008,3,241989,120160,121830,78860,50422,60375,52332,6,0,6,1,1,3,1,4.38,5.02,3.55,4.5,3.17,6.3,3.27,2,5.01,4.55,2.92,6.75,5.05,3.48,7.21,5.22,2.95,8.45,6.94,3.37,11.88,6.15,4.68,8.22,6.87,4.75,9.85
40,1,Álava,2008,4,242897,120618,122280,78868,50644,60654,52731,7,2,9,1,3,2,3,7.79,7.76,7.83,4.38,5.02,3.55,4.5,3.17,6.3,3.27,2,5.01,4.55,2.92,6.75,5.05,3.48,7.21,5.22,2.95,8.45,6.94,3.37,11.88,6.15,4.68,8.22
41,1,Álava,2009,1,243706,121022,122685,78810,50848,60916,53132,6,0,6,2,1,2,1,9.9,8.61,11.55,7.79,7.76,7.83,4.38,5.02,3.55,4.5,3.17,6.3,3.27,2,5.01,4.55,2.92,6.75,5.05,3.48,7.21,5.22,2.95,8.45,6.94,3.37,11.88
42,1,Álava,2009,2,244314,121314,123001,78619,51014,61143,53538,10,0,10,4,2,2,2,9.42,9.46,9.36,9.9,8.61,11.55,7.79,7.76,7.83,4.38,5.02,3.55,4.5,3.17,6.3,3.27,2,5.01,4.55,2.92,6.75,5.05,3.48,7.21,5.22,2.95,8.45
43,1,Álava,2009,3,244896,121580,123317,78398,51180,61364,53953,3,0,3,0,0,1,2,12.91,13.93,11.62,9.42,9.46,9.36,9.9,8.61,11.55,7.79,7.76,7.83,4.38,5.02,3.55,4.5,3.17,6.3,3.27,2,5.01,4.55,2.92,6.75,5.05,3.48,7.21
44,1,Álava,2009,4,245426,121792,123636,78120,51345,61575,54386,5,1,6,1,1,2,2,14.74,15.19,14.19,12.91,13.93,11.62,9.42,9.46,9.36,9.9,8.61,11.55,7.79,7.76,7.83,4.38,5.02,3.55,4.5,3.17,6.3,3.27,2,5.01,4.55,2.92,6.75
45,1,Álava,2010,1,245926,121993,123934,77854,51481,61773,54818,6,1,7,1,3,2,1,13.7,12.98,14.6,14.74,15.19,14.19,12.91,13.93,11.62,9.42,9.46,9.36,9.9,8.61,11.55,7.79,7.76,7.83,4.38,5.02,3.55,4.5,3.17,6.3,3.27,2,5.01
46,1,Álava,2010,2,246363,122172,124191,77611,51558,61943,55251,10,1,11,2,4,3,2,10.92,11.06,10.73,13.7,12.98,14.6,14.74,15.19,14.19,12.91,13.93,11.62,9.42,9.46,9.36,9.9,8.61,11.55,7.79,7.76,7.83,4.38,5.02,3.55,4.5,3.17,6.3
47,1,Álava,2010,3,246808,122329,124478,77375,51632,62126,55675,2,1,3,2,0,0,1,9.6,9.25,10.06,10.92,11.06,10.73,13.7,12.98,14.6,14.74,15.19,14.19,12.91,13.93,11.62,9.42,9.46,9.36,9.9,8.61,11.55,7.79,7.76,7.83,4.38,5.02,3.55
48,1,Álava,2010,4,247269,122442,124826,77152,51700,62335,56081,5,1,6,2,2,2,0,11.14,11.1,11.2,9.6,9.25,10.06,10.92,11.06,10.73,13.7,12.98,14.6,14.74,15.19,14.19,12.91,13.93,11.62,9.42,9.46,9.36,9.9,8.61,11.55,7.79,7.76,7.83
49,1,Álava,2011,1,247660,122546,125115,76820,51810,62547,56483,5,2,7,1,3,3,0,11.98,12.87,10.85,11.14,11.1,11.2,9.6,9.25,10.06,10.92,11.06,10.73,13.7,12.98,14.6,14.74,15.19,14.19,12.91,13.93,11.62,9.42,9.46,9.36,9.9,8.61,11.55
50,1,Álava,2011,2,247913,122629,125286,76267,52005,62764,56877,5,2,7,0,1,6,0,9.04,8.8,9.36,11.98,12.87,10.85,11.14,11.1,11.2,9.6,9.25,10.06,10.92,11.06,10.73,13.7,12.98,14.6,14.74,15.19,14.19,12.91,13.93,11.62,9.42,9.46,9.36
51,1,Álava,2011,3,248057,122610,125449,75644,52166,62971,57276,3,0,3,1,1,1,0,10.25,9.68,11.01,9.04,8.8,9.36,11.98,12.87,10.85,11.14,11.1,11.2,9.6,9.25,10.06,10.92,11.06,10.73,13.7,12.98,14.6,14.74,15.19,14.19,12.91,13.93,11.62
52,1,Álava,2011,4,247981,122388,125595,74879,52258,63161,57683,2,1,3,0,3,0,0,11.73,10.83,12.91,10.25,9.68,11.01,9.04,8.8,9.36,11.98,12.87,10.85,11.14,11.1,11.2,9.6,9.25,10.06,10.92,11.06,10.73,13.7,12.98,14.6,14.74,15.19,14.19
53,1,Álava,2012,1,247801,122122,125681,74065,52311,63354,58071,5,0,5,0,3,2,0,16.32,16.37,16.25,11.73,10.83,12.91,10.25,9.68,11.01,9.04,8.8,9.36,11.98,12.87,10.85,11.14,11.1,11.2,9.6,9.25,10.06,10.92,11.06,10.73,13.7,12.98,14.6
54,1,Álava,2012,2,247413,121769,125645,73152,52288,63551,58421,4,1,5,1,0,4,0,15.54,16.21,14.71,16.32,16.37,16.25,11.73,10.83,12.91,10.25,9.68,11.01,9.04,8.8,9.36,11.98,12.87,10.85,11.14,11.1,11.2,9.6,9.25,10.06,10.92,11.06,10.73
55,1,Álava,2012,3,247160,121489,125670,72295,52288,63766,58810,5,1,6,1,2,2,1,14.96,14.33,15.74,15.54,16.21,14.71,16.32,16.37,16.25,11.73,10.83,12.91,10.25,9.68,11.01,9.04,8.8,9.36,11.98,12.87,10.85,11.14,11.1,11.2,9.6,9.25,10.06
56,1,Álava,2012,4,247176,121358,125818,71547,52335,64018,59276,3,2,5,0,3,2,0,19.47,20.15,18.68,14.96,14.33,15.74,15.54,16.21,14.71,16.32,16.37,16.25,11.73,10.83,12.91,10.25,9.68,11.01,9.04,8.8,9.36,11.98,12.87,10.85,11.14,11.1,11.2
57,1,Álava,2013,1,247161,121200,125959,70794,52379,64242,59746,3,4,7,1,1,3,2,17.43,16.9,18.08,19.47,20.15,18.68,14.96,14.33,15.74,15.54,16.21,14.71,16.32,16.37,16.25,11.73,10.83,12.91,10.25,9.68,11.01,9.04,8.8,9.36,11.98,12.87,10.85
58,1,Álava,2013,2,247082,120992,126089,70027,52419,64409,60227,6,2,8,1,3,2,2,16.81,17.41,16.09,17.43,16.9,18.08,19.47,20.15,18.68,14.96,14.33,15.74,15.54,16.21,14.71,16.32,16.37,16.25,11.73,10.83,12.91,10.25,9.68,11.01,9.04,8.8,9.36
59,1,Álava,2013,3,247028,120812,126216,69292,52461,64575,60701,3,2,5,2,2,0,1,17.06,17.22,16.86,16.81,17.41,16.09,17.43,16.9,18.08,19.47,20.15,18.68,14.96,14.33,15.74,15.54,16.21,14.71,16.32,16.37,16.25,11.73,10.83,12.91,10.25,9.68,11.01
60,1,Álava,2013,4,247025,120691,126335,68619,52508,64739,61159,5,1,6,1,2,0,3,18.75,19.69,17.67,17.06,17.22,16.86,16.81,17.41,16.09,17.43,16.9,18.08,19.47,20.15,18.68,14.96,14.33,15.74,15.54,16.21,14.71,16.32,16.37,16.25,11.73,10.83,12.91
61,1,Álava,2014,1,247015,120585,126432,67927,52553,64923,61612,4,2,6,0,3,3,0,19.06,18.22,19.98,18.75,19.69,17.67,17.06,17.22,16.86,16.81,17.41,16.09,17.43,16.9,18.08,19.47,20.15,18.68,14.96,14.33,15.74,15.54,16.21,14.71,16.32,16.37,16.25
62,1,Álava,2014,2,246992,120510,126481,67199,52593,65144,62055,4,2,6,1,2,3,0,16.77,16.56,17.01,19.06,18.22,19.98,18.75,19.69,17.67,17.06,17.22,16.86,16.81,17.41,16.09,17.43,16.9,18.08,19.47,20.15,18.68,14.96,14.33,15.74,15.54,16.21,14.71
63,1,Álava,2014,3,246962,120412,126548,66450,52620,65378,62513,6,1,7,1,3,0,3,16.32,13.64,19.38,16.77,16.56,17.01,19.06,18.22,19.98,18.75,19.69,17.67,17.06,17.22,16.86,16.81,17.41,16.09,17.43,16.9,18.08,19.47,20.15,18.68,14.96,14.33,15.74
64,1,Álava,2014,4,246919,120269,126651,65660,52624,65635,63000,1,1,2,1,0,1,0,16.64,15.02,18.4,16.32,13.64,19.38,16.77,16.56,17.01,19.06,18.22,19.98,18.75,19.69,17.67,17.06,17.22,16.86,16.81,17.41,16.09,17.43,16.9,18.08,19.47,20.15,18.68
65,1,Álava,2015,1,246886,120142,126745,64876,52664,65911,63434,2,1,3,1,0,1,1,18.97,18.9,19.06,16.64,15.02,18.4,16.32,13.64,19.38,16.77,16.56,17.01,19.06,18.22,19.98,18.75,19.69,17.67,17.06,17.22,16.86,16.81,17.41,16.09,17.43,16.9,18.08
66,1,Álava,2015,2,246871,120047,126824,64106,52776,66225,63763,0,0,0,0,0,0,0,15.54,15.45,15.65,18.97,18.9,19.06,16.64,15.02,18.4,16.32,13.64,19.38,16.77,16.56,17.01,19.06,18.22,19.98,18.75,19.69,17.67,17.06,17.22,16.86,16.81,17.41,16.09
67,1,Álava,2015,3,246873,119955,126918,63346,52890,66534,64103,6,3,9,2,2,4,1,13.33,12.93,13.79,15.54,15.45,15.65,18.97,18.9,19.06,16.64,15.02,18.4,16.32,13.64,19.38,16.77,16.56,17.01,19.06,18.22,19.98,18.75,19.69,17.67,17.06,17.22,16.86
68,1,Álava,2015,4,246908,119869,127040,62605,53009,66829,64465,5,3,8,3,1,2,2,12.21,10.43,14.18,13.33,12.93,13.79,15.54,15.45,15.65,18.97,18.9,19.06,16.64,15.02,18.4,16.32,13.64,19.38,16.77,16.56,17.01,19.06,18.22,19.98,18.75,19.69,17.67
69,1,Álava,2016,1,246997,119837,127160,61902,53139,67134,64822,7,0,7,2,2,2,1,10.71,10.92,10.49,12.21,10.43,14.18,13.33,12.93,13.79,15.54,15.45,15.65,18.97,18.9,19.06,16.64,15.02,18.4,16.32,13.64,19.38,16.77,16.56,17.01,19.06,18.22,19.98
70,1,Álava,2016,2,247191,119913,127279,61274,53291,67459,65166,1,0,1,0,0,1,0,13.11,12.4,13.89,10.71,10.92,10.49,12.21,10.43,14.18,13.33,12.93,13.79,15.54,15.45,15.65,18.97,18.9,19.06,16.64,15.02,18.4,16.32,13.64,19.38,16.77,16.56,17.01
71,1,Álava,2016,3,247388,119968,127422,60644,53458,67774,65513,7,1,8,0,3,4,1,12.16,11.53,12.86,13.11,12.4,13.89,10.71,10.92,10.49,12.21,10.43,14.18,13.33,12.93,13.79,15.54,15.45,15.65,18.97,18.9,19.06,16.64,15.02,18.4,16.32,13.64,19.38
72,1,Álava,2016,4,247593,119981,127612,60007,53652,68069,65866,2,3,5,2,0,3,0,11.97,10.73,13.32,12.16,11.53,12.86,13.11,12.4,13.89,10.71,10.92,10.49,12.21,10.43,14.18,13.33,12.93,13.79,15.54,15.45,15.65,18.97,18.9,19.06,16.64,15.02,18.4
73,1,Álava,2017,1,247763,119980,127782,59398,53802,68339,66224,0,3,3,0,2,0,1,12.03,10.34,13.9,11.97,10.73,13.32,12.16,11.53,12.86,13.11,12.4,13.89,10.71,10.92,10.49,12.21,10.43,14.18,13.33,12.93,13.79,15.54,15.45,15.65,18.97,18.9,19.06
74,1,Álava,2017,2,247865,119952,127913,58846,53864,68562,66594,4,3,7,2,3,1,1,13.05,10.21,16.03,12.03,10.34,13.9,11.97,10.73,13.32,12.16,11.53,12.86,13.11,12.4,13.89,10.71,10.92,10.49,12.21,10.43,14.18,13.33,12.93,13.79,15.54,15.45,15.65
75,1,Álava,2017,3,248024,119942,128084,58319,53924,68792,66990,5,1,6,2,1,3,0,10.95,8.43,13.81,13.05,10.21,16.03,12.03,10.34,13.9,11.97,10.73,13.32,12.16,11.53,12.86,13.11,12.4,13.89,10.71,10.92,10.49,12.21,10.43,14.18,13.33,12.93,13.79
76,1,Álava,2017,4,248299,119966,128334,57843,53980,69037,67439,4,2,6,1,1,3,1,9.04,7.94,10.29,10.95,8.43,13.81,13.05,10.21,16.03,12.03,10.34,13.9,11.97,10.73,13.32,12.16,11.53,12.86,13.11,12.4,13.89,10.71,10.92,10.49,12.21,10.43,14.18
77,1,Álava,2018,1,248554,120002,128553,57367,54035,69290,67862,2,2,4,0,2,1,1,10.54,8.27,13.12,9.04,7.94,10.29,10.95,8.43,13.81,13.05,10.21,16.03,12.03,10.34,13.9,11.97,10.73,13.32,12.16,11.53,12.86,13.11,12.4,13.89,10.71,10.92,10.49
78,1,Álava,2018,2,248769,120060,128709,56889,54087,69559,68233,5,1,6,2,1,3,0,10.53,9.44,11.74,10.54,8.27,13.12,9.04,7.94,10.29,10.95,8.43,13.81,13.05,10.21,16.03,12.03,10.34,13.9,11.97,10.73,13.32,12.16,11.53,12.86,13.11,12.4,13.89
79,1,Álava,2018,3,249035,120136,128898,56430,54164,69830,68611,7,3,10,1,5,4,0,7.99,7.61,8.44,10.53,9.44,11.74,10.54,8.27,13.12,9.04,7.94,10.29,10.95,8.43,13.81,13.05,10.21,16.03,12.03,10.34,13.9,11.97,10.73,13.32,12.16,11.53,12.86
80,1,Álava,2018,4,249401,120246,129154,56008,54289,70102,69002,3,1,4,0,2,1,1,7.39,6.92,7.93,7.99,7.61,8.44,10.53,9.44,11.74,10.54,8.27,13.12,9.04,7.94,10.29,10.95,8.43,13.81,13.05,10.21,16.03,12.03,10.34,13.9,11.97,10.73,13.32
81,2,Albacete,1999,1,242292,118346,123946,87130,41184,52348,61631,6,3,9,0,2,4,3,18.35,12.2,28.72,21.23,14.38,33.03,18.77,12.33,29.6,18.51,12.66,28.49,20.34,14.13,30.41,22.96,16.34,33.63,23.41,16.74,34.39,24.1,19.91,31.53,25.32,20.41,33.86
82,2,Albacete,1999,2,243221,118825,124396,87337,41621,52374,61889,2,3,5,1,2,2,0,17,11.16,26.76,18.35,12.2,28.72,21.23,14.38,33.03,18.77,12.33,29.6,18.51,12.66,28.49,20.34,14.13,30.41,22.96,16.34,33.63,23.41,16.74,34.39,24.1,19.91,31.53
83,2,Albacete,1999,3,244170,119310,124860,87542,42058,52393,62177,4,1,5,2,1,2,0,16.19,9.56,28.05,17,11.16,26.76,18.35,12.2,28.72,21.23,14.38,33.03,18.77,12.33,29.6,18.51,12.66,28.49,20.34,14.13,30.41,22.96,16.34,33.63,23.41,16.74,34.39
84,2,Albacete,1999,4,245160,119808,125352,87743,42495,52397,62526,6,0,6,1,2,2,1,15.83,10.5,25.48,16.19,9.56,28.05,17,11.16,26.76,18.35,12.2,28.72,21.23,14.38,33.03,18.77,12.33,29.6,18.51,12.66,28.49,20.34,14.13,30.41,22.96,16.34,33.63
85,2,Albacete,2000,1,246122,120294,125828,87921,42962,52380,62859,6,0,6,0,1,2,3,15.08,10,23.86,15.83,10.5,25.48,16.19,9.56,28.05,17,11.16,26.76,18.35,12.2,28.72,21.23,14.38,33.03,18.77,12.33,29.6,18.51,12.66,28.49,20.34,14.13,30.41
86,2,Albacete,2000,2,247027,120757,126271,88053,43492,52321,63161,3,1,4,0,1,3,0,12.9,8.13,20.96,15.08,10,23.86,15.83,10.5,25.48,16.19,9.56,28.05,17,11.16,26.76,18.35,12.2,28.72,21.23,14.38,33.03,18.77,12.33,29.6,18.51,12.66,28.49
87,2,Albacete,2000,3,247960,121234,126727,88181,44024,52271,63484,8,0,8,1,2,4,1,10.6,7.03,16.67,12.9,8.13,20.96,15.08,10,23.86,15.83,10.5,25.48,16.19,9.56,28.05,17,11.16,26.76,18.35,12.2,28.72,21.23,14.38,33.03,18.77,12.33,29.6
