"","Age group","Sex","Cause","Deaths added"," Deaths added ll","Deaths added ul"
"1","All ages","Both","Transport",448.176562410408,394.034928096633,501.073995630738
"2","All ages","Both","Falls",-131.026805669359,-193.014531993961,-68.396100011217
"4","All ages","Both","Drownings",143.402363809453,129.959975768056,156.649466789659
"5","All ages","Both","Intentional self-harm",315.259728865529,255.893941451346,375.1674775327
"6","All ages","Both","Assault",164.863106563046,128.511423321301,201.374749173776
"7","0-4","Male","Transport",5.54501880456254,3.06015927354987,8.14166607152747
"8","0-4","Male","Falls",0.112740880358696,-0.177590437551531,0.406437802936616
"10","0-4","Male","Drownings",9.20412321373649,5.63341114990427,12.6232823982814
"11","0-4","Male","Intentional self-harm",0,0,0
"12","0-4","Male","Assault",1.10697564976822,-1.94987894943733,4.19397944069862
"13","5-14","Male","Transport",4.81192369052016,0.888010035399161,8.90072473737126
"14","5-14","Male","Falls",0.138971352908671,-0.119757253225345,0.404121875949253
"16","5-14","Male","Drownings",10.2412744142711,7.75045838173846,12.760362569915
"17","5-14","Male","Intentional self-harm",1.47602519471119,-1.6852648314518,4.70437487063862
"18","5-14","Male","Assault",1.15914762915669,-0.605087146435278,2.99195763158699
"19","15-24","Male","Transport",76.0315959194958,58.5539912463191,93.6399260947789
"20","15-24","Male","Falls",2.28385250859717,0.476939736643371,4.13279457977998
"22","15-24","Male","Drownings",40.3419333390496,35.348508326857,45.3696408866529
"23","15-24","Male","Intentional self-harm",20.3524819627525,2.60146983879708,37.7830810674332
"24","15-24","Male","Assault",37.73596392683,17.7189992588637,58.3135985167934
"25","25-34","Male","Transport",70.6881649396948,50.6832531315351,90.2981299236968
"26","25-34","Male","Falls",3.31671069287091,0.582177380372442,6.20215016200335
"28","25-34","Male","Drownings",24.6325273492587,20.0072887789528,29.315640389219
"29","25-34","Male","Intentional self-harm",40.6833738606328,19.7247034031477,62.2476717229915
"30","25-34","Male","Assault",55.1955290579134,35.1065243813231,76.1979956889137
"31","35-44","Male","Transport",47.9727516334797,32.0471758201443,64.3327267543649
"32","35-44","Male","Falls",2.37479801360685,-1.44052187973974,6.29786652908647
"34","35-44","Male","Drownings",14.7547704739201,10.769740252845,19.0866725799496
"35","35-44","Male","Intentional self-harm",46.9389412158561,27.5006497116877,67.1802670792215
"36","35-44","Male","Assault",18.0734258346112,4.171360734174,32.1116221037334
"37","45-54","Male","Transport",64.9589330061804,46.687819938382,83.4972605531526
"38","45-54","Male","Falls",3.63232885395036,-3.47748282822499,10.5886955589913
"40","45-54","Male","Drownings",11.7129388010024,6.97558792559529,16.6858689379441
"41","45-54","Male","Intentional self-harm",36.0835035868596,12.2298141701632,59.6052555157515
"42","45-54","Male","Assault",9.02761555203655,-1.06127875438853,19.0738953919011
"43","55-64","Male","Transport",72.8105239155532,51.45999592777,93.8993903536972
