"","sex.long","sex","age.long","age","cause","deaths","deaths.added.median","deaths.added.mean","deaths.added.ll","deaths.added.ul","deaths.added.two.deg.median","deaths.added.two.deg.mean","deaths.added.two.deg.ll","deaths.added.two.deg.ul","intent","perc.mean","perc.ul","perc.ll"
"1","Female",2,"0-4",0,"Assault",295.959770114942,2.91218618549601,2.92164776969847,-0.136000073235431,6.04379157997474,5.87034476125471,5.89815899488394,-0.26048844243308,12.2504146393046,"Intentional",0.00987177334461296,0.0204209902502205,-0.000459522161348525
"2","Female",2,"0-4",0,"Drownings",159.716091954023,3.42658679234098,3.42104008136939,1.30860783888538,5.58692511148912,6.9357994398776,6.93042809134939,2.63864780193898,11.3731937052411,"Unintentional",0.0214195078248859,0.0349803519678995,0.00819333745820729
"3","Female",2,"0-4",0,"Falls",8.13563218390804,0.0820436544753328,0.0827902853228893,-0.041759809837912,0.211462248497822,0.165153746538511,0.167311786664113,-0.0825971009907259,0.428644283221727,"Unintentional",0.010176257167408,0.0259921102279041,-0.00513295204280637
"4","Female",2,"0-4",0,"Intentional
self-harm",0,0,0,0,0,0,0,0,0,"Intentional",NA,NA,NA
"6","Female",2,"0-4",0,"Transport",253.058620689655,1.48742126251403,1.48228899789694,-1.04957269948134,4.0524162637635,2.99090256429994,2.98935023949566,-2.08350015324705,8.18001281893989,"Unintentional",0.00585749259937201,0.0160137451659206,-0.00414754769713422
"7","Female",2,"15-24",15,"Assault",704.468965517241,8.67832235207828,8.70839207524766,3.48462033373415,13.9644423712087,17.4880470495119,17.5550790063869,7.01768617159273,28.2123728361744,"Intentional",0.0123616404717754,0.0198226508969854,0.00494644974342573
"8","Female",2,"15-24",15,"Drownings",50.9448275862068,0.733597758176162,0.735096636564123,0.0163645075335696,1.44344970278004,1.4792153690898,1.48621902476436,0.0364937389016854,2.93108096153167,"Unintentional",0.0144292692976578,0.0283335869640051,0.000321220196611289
"9","Female",2,"15-24",15,"Falls",41.9471264367816,0.221458147433733,0.226424938563884,-0.362036141782433,0.833363140759002,0.446420826288695,0.458246285440074,-0.720430838406236,1.68709634557644,"Unintentional",0.00539786530801171,0.019866989983568,-0.00863077336961466
"10","Female",2,"15-24",15,"Intentional
self-harm",1163.33218390805,7.39993726756536,7.46123183450228,-1.11717548133657,16.2699200632286,14.8828297572409,15.0195526406316,-2.21910626009784,32.8029004692847,"Intentional",0.00641367267037808,0.0139856184572941,-0.000960323712169284
"12","Female",2,"15-24",15,"Transport",2168.05402298851,17.555625771528,17.5638418151819,7.90761787977513,27.7351188730453,35.3359556506433,35.3835784717614,15.9939697572552,55.9166143460469,"Unintentional",0.00810120118269534,0.0127926327383736,0.00364733433573535
"13","Female",2,"25-34",25,"Assault",851.742528735632,2.24651020554333,2.32695349433927,-3.62191056745599,8.41916899276883,4.55450473469593,4.73791430302089,-7.1606420746601,16.9888170281526,"Intentional",0.00273199167099653,0.00988464084946733,-0.00425235378680988
"14","Female",2,"25-34",25,"Drownings",78.4183908045976,1.78577851492669,1.78934777355636,0.676352840542849,2.84290208460342,3.61631750999074,3.62830199063293,1.35976178022554,5.79791854141478,"Unintentional",0.0228179608787822,0.0362530020755889,0.0086249262909281
"15","Female",2,"25-34",25,"Falls",60.9114942528735,0.692776594986472,0.694146395033029,-0.132518781289104,1.52640466495311,1.39736962176953,1.40200946523369,-0.262195832998367,3.09264621843747,"Unintentional",0.0113959836898974,0.0250593863059123,-0.00217559563945278
"16","Female",2,"25-34",25,"Intentional
self-harm",1502.16551724138,12.2796415687612,12.2664873674067,2.40277108786609,22.3076583333853,24.7201410600425,24.6971657186134,4.87878079654344,45.0038953785794,"Intentional",0.00816586935768122,0.0148503331206482,0.00159953817358197
"18","Female",2,"25-34",25,"Transport",1944.80689655172,4.49559773781488,4.47544210575688,-5.52403040804081,14.7905931950381,9.05043670120586,9.02224962311119,-10.9991698088528,29.7558975521416,"Unintentional",0.00230122698232516,0.00760517315177298,-0.0028404004622954
"19","Female",2,"35-44",35,"Assault",670.029885057471,6.8211329223505,6.86214512639215,1.85291666116148,12.1648290752965,13.7347020954101,13.8271476114471,3.72766021240476,24.5810766801933,"Intentional",0.0102415508314283,0.0181556514815053,0.00276542390493902
"20","Female",2,"35-44",35,"Drownings",56.635632183908,1.13450562661265,1.13811947894846,0.298462532635989,1.98563462040374,2.29618785521374,2.30599011973861,0.600298762451738,4.04677702758879,"Unintentional",0.0200954670242357,0.0350598120624127,0.00526987200684574
"21","Female",2,"35-44",35,"Falls",105.627586206897,0.10402263218671,0.104229406177463,-1.22367903058222,1.44409879505269,0.213260185138316,0.217677602074534,-2.43203973076218,2.91423560395932,"Unintentional",0.000986763116723176,0.0136716065083991,-0.0115848432641957
"22","Female",2,"35-44",35,"Intentional
self-harm",1762.07586206897,10.5682437076524,10.5583610413462,0.0140543333404054,21.0918158040557,21.2424867591265,21.2413052590899,0.0750163365154701,42.4591941260319,"Intentional",0.00599200140506378,0.0119698681867706,7.97600923033093e-06
"24","Female",2,"35-44",35,"Transport",1389.80344827586,4.34900522430419,4.39834063259901,-3.32268171321168,12.3376920966218,8.74850985125193,8.8717206196273,-6.56113916901664,24.8206597863456,"Unintentional",0.00316472134103238,0.00887729276533846,-0.00239075656153658
"25","Female",2,"45-54",45,"Assault",524.826436781609,4.26786448782581,4.29997828439473,-0.462832242437292,9.23313205753028,8.58418338602069,8.66693242440487,-0.904131925110424,18.6552154367943,"Intentional",0.00819314345284027,0.0175927343030785,-0.000881876769157279
"26","Female",2,"45-54",45,"Drownings",107.67816091954,1.71737162593886,1.72320169191323,0.167602937854149,3.31744733581048,3.46522290788778,3.48534003782403,0.33985944899849,6.75473726816357,"Unintentional",0.0160032608023539,0.0308089152663868,0.00155651746299221
"27","Female",2,"45-54",45,"Falls",340.072413793103,0.326421789597182,0.353116431752195,-3.3612150934381,4.04344678031702,0.666635387417623,0.728901548326384,-6.68086295022371,8.14159020780568,"Unintentional",0.00103835658944988,0.0118899581863086,-0.00988382167182497
"28","Female",2,"45-54",45,"Intentional
self-harm",2272.57931034483,8.86064628506435,8.94263675979757,-4.32699400018602,22.3635803641349,17.8309691481875,18.0165792913818,-8.53647522853204,45.0722347484485,"Intentional",0.00393501635744482,0.00984061601825529,-0.00190400131713312
"30","Female",2,"45-54",45,"Transport",1632.84252873563,4.87020074612306,4.80411200094683,-4.99622045444577,14.8115672587941,9.79646430939419,9.68317352139147,-9.94118310805862,29.7794379331712,"Unintentional",0.00294217716430183,0.00907103226314372,-0.0030598299386007
"31","Female",2,"5-14",5,"Assault",114.711494252873,0.957463047277359,0.951983837661366,-0.474160958586822,2.385401819323,1.9267803779986,1.92166918057812,-0.938754671954711,4.82805533715387,"Intentional",0.0082989402575716,0.0207947933627693,-0.00413350869217663
"32","Female",2,"5-14",5,"Drownings",81.9022988505747,3.3505501817509,3.38397458571564,1.82911385548689,5.04687321542189,6.85262498096757,6.93050103175575,3.70507974301507,10.4581272530154,"Unintentional",0.0413172112774207,0.0616206539529444,0.0223328756476542
"33","Female",2,"5-14",5,"Falls",3.03333333333333,0.0273952971056317,0.0276073780684089,-0.0179695473856698,0.0757634408085403,0.0551337002449795,0.0557667432574786,-0.0356992827598525,0.153696210272986,"Unintentional",0.00910133342914582,0.02497695850831,-0.00592402661066037
"34","Female",2,"5-14",5,"Intentional
self-harm",174.581609195402,2.55802300615455,2.56565648827321,0.292897676361119,4.91534621239899,5.16209453890071,5.18581033077569,0.611546111142795,9.98562486659359,"Intentional",0.0146960295537291,0.028155005759498,0.00167771208955515
"36","Female",2,"5-14",5,"Transport",425.342528735632,4.46902766248885,4.47221412909093,1.13876891730999,7.88871529009105,9.00652091972792,9.01924623617075,2.29532414748843,15.94878184406,"Unintentional",0.0105143827079436,0.0185467352948245,0.00267729850738199
"37","Female",2,"55-64",55,"Assault",378.335632183908,1.98589590154762,1.96711762852561,-1.96913203194407,5.90943664842098,3.99629346966396,3.97078009295456,-3.91966701885569,11.9478615873011,"Intentional",0.00519939826225356,0.0156195614309688,-0.00520472264422317
"38","Female",2,"55-64",55,"Drownings",124.913793103448,0.840806445086923,0.828079857275541,-0.969058348940354,2.62915243646452,1.69194900333115,1.67385684305486,-1.92735886030901,5.32138716767081,"Unintentional",0.0066292107276717,0.0210477351711445,-0.00775781701015053
"39","Female",2,"55-64",55,"Falls",817.673563218391,0.646172629205255,0.666237944261868,-7.1456439425067,8.3820927723763,1.34069622980081,1.40226308201164,-14.2134240691575,16.9117602951279,"Unintentional",0.000814796973060414,0.0102511480735467,-0.00873899348583707
"40","Female",2,"55-64",55,"Intentional
self-harm",2039.43103448276,10.5992677614998,10.7012003243554,-3.26487018799079,24.5944097311041,21.2920686217619,21.5362377833568,-6.48677668023839,49.5167202537173,"Intentional",0.00524714988809094,0.0120594466374499,-0.00160087305370384
"42","Female",2,"55-64",55,"Transport",1491.83448275862,2.44877931557645,2.54533192504609,-6.64775247039741,12.0322010885393,4.96447087980461,5.16047034674841,-13.2402746939097,24.2101584609382,"Unintentional",0.00170617582209214,0.00806537268550732,-0.00445609251376516
"43","Female",2,"65-74",65,"Assault",192.241379310345,1.20412312301336,1.2314395638979,-0.905564644004176,3.43462663471005,2.42118569040355,2.48612669085094,-1.80070775617976,6.93310438229448,"Intentional",0.0064056945924734,0.0178662192657563,-0.00471056048002173
"44","Female",2,"65-74",65,"Drownings",100.618390804598,1.35101792851365,1.36044798581871,-0.0677604497647659,2.797017097259,2.72662332079502,2.75096033985894,-0.131544262039372,5.68080249598679,"Unintentional",0.0135208680534428,0.0277982690330523,-0.000673440006572533
"45","Female",2,"65-74",65,"Falls",1779.95632183908,-3.37571588978569,-3.39619768502833,-15.8150004560374,9.16389538233353,-6.68235466247434,-6.70833115109236,-31.42604772547,18.5061561349982,"Unintentional",-0.00190802304717193,0.0051483821652799,-0.00888504974082572
"46","Female",2,"65-74",65,"Intentional
self-harm",952.68275862069,8.67020334526138,8.69942286979734,0.562970454845338,16.8821149617536,17.4591154958957,17.5287724246651,1.14841314331072,34.1018475365547,"Intentional",0.00913150027233883,0.017720605111187,0.000590931713365335
"48","Female",2,"65-74",65,"Transport",1263.14137931034,11.7336818927694,11.77346001484,3.6870030624694,19.6640867605692,23.6294203255052,23.719441764511,7.44653108119914,39.6812815534988,"Unintentional",0.00932077771157189,0.0155676055607532,0.00291891558843749
"49","Female",2,"75-84",75,"Assault",118.854022988506,0.0381226102432188,0.0413003212356081,-1.32592391871505,1.49700341452859,0.0808116669985313,0.092940053046212,-2.63541168779295,3.02298738087917,"Intentional",0.000347487785412213,0.012595311264082,-0.011155902723152
