"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.401438267264854,0.479537625473393,0.800654139787148
"2",0,2,0.397616255049485,0.460910918657793,0.794607182826893
"3",5,1,0.223846339169112,0.311645198026086,0.490088353171332
"4",5,2,0.244087824230184,0.29711545100591,0.482490977662837
"5",15,1,0.155521978061514,0.350264338946039,0.563327229780895
"6",15,2,0.174778445742787,0.345491153480005,0.494659372459446
"7",25,1,0.150672599910471,0.414529934103148,0.794371522002021
"8",25,2,0.148172163239366,0.418524427874645,0.815292369274538
"9",35,1,0.147875841264181,0.703925074269365,1.45371829722472
"10",35,2,0.156083259736103,0.771359927549662,1.61067770372087
"11",45,1,0.158828484729131,1.4811015636182,3.26442352927077
"12",45,2,0.177431722636199,1.45102402215165,3.09281531612718
"13",55,1,0.211053206408281,2.93828644246452,6.21016190293429
"14",55,2,0.195233278350333,2.42565240843912,5.22297219005629
"15",65,1,0.303840737399393,5.22858462365917,11.2791015772863
"16",65,2,0.234892379472523,3.90873199803098,8.16728924281714
"17",75,1,0.463389443482913,9.75076531207299,20.9783843782844
"18",75,2,0.390765856859792,6.18497761407562,13.0541573481306
"19",85,1,1.99391398215819,22.8124996235505,50.6037132111001
"20",85,2,0.948591475086571,11.2360588246792,23.9407700264858
