cause,cause.sub
8691,Other external causes of injury
8692,Other external causes of injury
8693,Other external causes of injury
8698,Other external causes of injury
8699,Other external causes of injury
8700,Other external causes of injury
8701,Other external causes of injury
8702,Other external causes of injury
8703,Other external causes of injury
8704,Other external causes of injury
8705,Other external causes of injury
8706,Other external causes of injury
8707,Other external causes of injury
8708,Other external causes of injury
8709,Other external causes of injury
8710,Other external causes of injury
8711,Other external causes of injury
8712,Other external causes of injury
8714,Other external causes of injury
8715,Other external causes of injury
8716,Other external causes of injury
8717,Other external causes of injury
8718,Other external causes of injury
8719,Other external causes of injury
8720,Other external causes of injury
8721,Other external causes of injury
8722,Other external causes of injury
8725,Other external causes of injury
8726,Other external causes of injury
8729,Other external causes of injury
8730,Other external causes of injury
8731,Other external causes of injury
8732,Other external causes of injury
8733,Other external causes of injury
8735,Other external causes of injury
8736,Other external causes of injury
8738,Other external causes of injury
8739,Other external causes of injury
8740,Other external causes of injury
8741,Other external causes of injury
8742,Other external causes of injury
8743,Other external causes of injury
8744,Other external causes of injury
8745,Other external causes of injury
8748,Other external causes of injury
8749,Other external causes of injury
8750,Other external causes of injury
8751,Other external causes of injury
8752,Other external causes of injury
8758,Other external causes of injury
8759,Other external causes of injury
8760,Other external causes of injury
8761,Other external causes of injury
8762,Other external causes of injury
8763,Other external causes of injury
8764,Other external causes of injury
8765,Other external causes of injury
8768,Other external causes of injury
8769,Other external causes of injury
8780,Other external causes of injury
8781,Other external causes of injury
8782,Other external causes of injury
8783,Other external causes of injury
8784,Other external causes of injury
8785,Other external causes of injury
8786,Other external causes of injury
8788,Other external causes of injury
8789,Other external causes of injury
8790,Other external causes of injury
8791,Other external causes of injury
8792,Other external causes of injury
8793,Other external causes of injury
8794,Other external causes of injury
8795,Other external causes of injury
8796,Other external causes of injury
8797,Other external causes of injury
8798,Other external causes of injury
8799,Other external causes of injury
8900,Other external causes of injury
8901,Other external causes of injury
8902,Other external causes of injury
8903,Other external causes of injury
8908,Other external causes of injury
8909,Other external causes of injury
8910,Other external causes of injury
8911,Other external causes of injury
8912,Other external causes of injury
8913,Other external causes of injury
8918,Other external causes of injury
8919,Other external causes of injury
8920,Other external causes of injury
8930,Other external causes of injury
8931,Other external causes of injury
8932,Other external causes of injury
8938,Other external causes of injury
8939,Other external causes of injury
8940,Other external causes of injury
8950,Other external causes of injury
8960,Other external causes of injury
8970,Other external causes of injury
8980,Other external causes of injury
8981,Other external causes of injury
8990,Other external causes of injury
9001,Other external causes of injury
9009,Other external causes of injury
9011,Other external causes of injury
9018,Other external causes of injury
9019,Other external causes of injury
9020,Other external causes of injury
9021,Other external causes of injury
9022,Other external causes of injury
9028,Other external causes of injury
9029,Other external causes of injury
9030,Other external causes of injury
9040,Other external causes of injury
9041,Other external causes of injury
9042,Other external causes of injury
9043,Other external causes of injury
9049,Other external causes of injury
9050,Other external causes of injury
9051,Other external causes of injury
9052,Other external causes of injury
9053,Other external causes of injury
9054,Other external causes of injury
