"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.206763948004607,0.212673812197542,0.472284742345975
"2",0,2,0.2115051670735,0.216759228008795,0.490659816239506
"3",5,1,0.104786330980956,0.107082796925452,0.245844162589567
"4",5,2,0.108010628251301,0.109425886281806,0.256311763964873
"5",15,1,0.133267673634063,0.148068048022413,0.264511033604191
"6",15,2,0.112279590564251,0.119663666875372,0.240655270671585
"7",25,1,0.199045922427942,0.326234496536179,0.515052731492966
"8",25,2,0.173326687884656,0.212489763120811,0.348782101912702
"9",35,1,0.151407788566226,0.62478682729606,1.32345868917712
"10",35,2,0.174144597465866,0.418535574379765,0.698140016657578
"11",45,1,0.176027685302263,1.27574444112973,2.88282206952687
"12",45,2,0.1796952974772,0.68884774529739,1.51328348967862
"13",55,1,0.194459597919009,2.27714740378906,5.34536181439964
"14",55,2,0.207630462696989,1.36942512953016,3.02409864270287
"15",65,1,0.293256665167722,4.15657384002859,9.94480051616787
"16",65,2,0.259246335203748,2.58756437367048,5.83183214940289
"17",75,1,0.481652771619728,8.77470323952049,20.8229461072442
"18",75,2,0.357842657350499,5.31765702420691,12.605481170347
"19",85,1,1.5147886331657,26.1068762230833,62.0357848630115
"20",85,2,0.709234561642978,13.6266824519998,35.1086932547466
