year,fips,Median_Household_Income_in_Dollars,All_Ages_in_Poverty_Percent
2015,0,"$55,775",14.7
2014,0,"$53,657",15.5
2013,0,"$52,250",15.8
2012,0,"$51,371",15.9
2011,0,"$50,502",15.9
2010,0,"$50,046",15.3
2009,0,"$50,221",14.3
2008,0,"$52,029",13.2
2007,0,"$50,740",13
2006,0,"$48,451",13.3
2005,0,"$46,242",13.3
2004,0,"$44,334",12.7
2003,0,"$43,318",12.5
2002,0,"$42,409",12.1
2001,0,"$42,228",11.7
2000,0,"$41,990",11.3
1999,0,"$40,696",11.9
1998,0,"$38,885",12.7
1997,0,"$37,005",13.3
1996,0,"$35,492",13.7
1995,0,"$34,076",13.8
1993,0,"$31,241",15.1
1989,0,"$28,906",12.8
2015,1000,"$44,833",18.5
2014,1000,"$42,917",19.2
2013,1000,"$42,882",18.9
2012,1000,"$41,610",19
2011,1000,"$41,427",19.1
2010,1000,"$40,538",18.9
2009,1000,"$40,547",17.5
2008,1000,"$42,586",15.9
2007,1000,"$40,596",16.6
2006,1000,"$38,811",16.6
2005,1000,"$36,936",16.9
2004,1000,"$37,062",16.1
2003,1000,"$36,131",15.3
2002,1000,"$35,943",15.4
2001,1000,"$34,761",15.7
2000,1000,"$34,923",14.6
1999,1000,"$33,840",15.3
1998,1000,"$33,204",15.7
1997,1000,"$30,790",16.2
1996,1000,"$29,618",16.7
1995,1000,"$27,357",17.6
1993,1000,"$25,907",18.8
1989,1000,"$22,202",17.7
2015,1001,"$56,580",12.7
2014,1001,"$54,366",13.1
2013,1001,"$51,868",13.5
2012,1001,"$51,441",12.7
2011,1001,"$48,863",14.9
2010,1001,"$53,049",11.9
2009,1001,"$53,081",11.2
2008,1001,"$51,622",10.7
2007,1001,"$50,375",10.4
2006,1001,"$46,491",12.5
2005,1001,"$45,019",10.4
2004,1001,"$45,379",11.6
2003,1001,"$44,241",10.4
2002,1001,"$42,841",10.3
2001,1001,"$42,183",10.8
2000,1001,"$42,463",10.5
1999,1001,"$39,702",11.4
1998,1001,"$38,260",11.3
1997,1001,"$36,803",11.8
1996,1001,NA,NA
1995,1001,"$34,842",13.4
1993,1001,"$30,906",15.2
1989,1001,"$26,898",14.3
2015,1003,"$52,387",12.9
2014,1003,"$49,626",13
2013,1003,"$47,539",14.2
2012,1003,"$48,867",13.9
2011,1003,"$50,144",13.4
2010,1003,"$47,618",13.3
2009,1003,"$48,637",13.3
2008,1003,"$51,957",9.9
2007,1003,"$49,163",10.3
2006,1003,"$45,493",11
2005,1003,"$42,804",11.4
2004,1003,"$42,227",10
2003,1003,"$41,961",10.1
2002,1003,"$40,818",10.7
2001,1003,"$40,406",11.1
2000,1003,"$41,283",9.7
1999,1003,"$39,194",10.5
1998,1003,"$37,162",11
1997,1003,"$35,438",11.1
1996,1003,NA,NA
1995,1003,"$35,014",12.4
1993,1003,"$29,040",13.6
1989,1003,"$24,043",13.2
2015,1005,"$31,433",32
2014,1005,"$34,971",25.4
2013,1005,"$30,981",28.2
2012,1005,"$30,287",29
2011,1005,"$30,117",29.5
2010,1005,"$33,074",25.3
2009,1005,"$28,802",32.8
2008,1005,"$30,896",24.5
2007,1005,"$30,370",26.1
2006,1005,"$28,692",28.7
2005,1005,"$29,534",22.4
2004,1005,"$26,495",23.9
2003,1005,"$26,062",22.2
2002,1005,"$25,279",23.6
2001,1005,"$25,480",24.2
2000,1005,"$26,612",22.2
1999,1005,"$25,837",22.3
1998,1005,"$27,603",22.7
1997,1005,"$25,925",23.8
1996,1005,NA,NA
1995,1005,"$24,423",24.9
1993,1005,"$22,446",25
1989,1005,"$18,673",26.2
2015,1007,"$40,767",22.2
2014,1007,"$39,546",18.1
2013,1007,"$39,781",23.1
2012,1007,"$37,392",21.5
2011,1007,"$37,347",22.2
2010,1007,"$35,472",20.9
2009,1007,"$38,294",18.1
2008,1007,"$41,076",18.5
2007,1007,"$38,907",18.2
2006,1007,"$36,794",18.8
2005,1007,"$34,212",16.6
2004,1007,"$34,055",17.1
2003,1007,"$32,924",16.8
2002,1007,"$31,387",17.7
2001,1007,"$31,074",18.2
2000,1007,"$31,776",17.8
1999,1007,"$30,594",17.1
1998,1007,"$29,692",16.9
1997,1007,"$28,039",17.4
1996,1007,NA,NA
1995,1007,"$26,651",18.1
1993,1007,"$22,789",20
1989,1007,"$19,604",18.9
2015,1009,"$50,487",14.7
2014,1009,"$45,567",17.5
2013,1009,"$44,392",17.2
2012,1009,"$44,225",16.2
2011,1009,"$41,940",14.9
2010,1009,"$42,906",16.5
2009,1009,"$41,520",14.6
2008,1009,"$46,086",13.1
2007,1009,"$43,266",13.1
2006,1009,"$41,494",12.8
2005,1009,"$40,588",11.4
2004,1009,"$38,643",12.4
2003,1009,"$37,758",11.9
2002,1009,"$36,386",12.6
2001,1009,"$36,175",13.6
2000,1009,"$36,863",12
1999,1009,"$35,304",12.3
1998,1009,"$35,623",12.9
1997,1009,"$32,676",13.3
1996,1009,NA,NA
1995,1009,"$30,584",13.7
1993,1009,"$27,607",15
1989,1009,"$24,035",13.4
2015,1011,"$28,251",39.6
2014,1011,"$26,580",35.1
2013,1011,"$25,937",35.2
2012,1011,"$25,854",32.3
2011,1011,"$26,038",32.8
2010,1011,"$25,969",31.1
2009,1011,"$24,206",34.7
2008,1011,"$26,980",33.6
2007,1011,"$24,969",34
2006,1011,"$23,095",32.9
2005,1011,"$21,728",38.2
2004,1011,"$20,485",30.3
2003,1011,"$20,903",26.5
2002,1011,"$20,137",31.4
2001,1011,"$20,367",32.9
2000,1011,"$21,400",28.6
1999,1011,"$21,183",26.6
1998,1011,"$22,231",28
1997,1011,"$20,401",29.2
1996,1011,NA,NA
1995,1011,"$19,063",33.7
1993,1011,"$15,734",33
1989,1011,"$13,273",34.1
2015,1013,"$33,868",25.8
2014,1013,"$32,512",25
2013,1013,"$31,041",28.8
2012,1013,"$30,605",26.3
2011,1013,"$30,489",24.1
2010,1013,"$29,500",28.1
2009,1013,"$27,794",29.4
2008,1013,"$31,449",22.3
2007,1013,"$30,460",23.2
2006,1013,"$29,158",22.8
2005,1013,"$28,058",23.1
2004,1013,"$27,244",21
2003,1013,"$26,951",20
2002,1013,"$25,826",20.4
2001,1013,"$25,284",21.6
2000,1013,"$25,763",20.7
1999,1013,"$24,715",21.9
1998,1013,"$23,988",23.4
1997,1013,"$22,813",23.4
1996,1013,NA,NA
1995,1013,"$21,918",25.4
1993,1013,"$19,053",27.1
1989,1013,"$16,683",26.3
2015,1015,"$42,091",20
2014,1015,"$41,123",20.5
2013,1015,"$37,898",21.4
2012,1015,"$39,212",21.4
2011,1015,"$39,060",20.9
2010,1015,"$37,916",23.5
2009,1015,"$37,340",19
2008,1015,"$39,997",17.6
2007,1015,"$37,478",17.1
2006,1015,"$36,684",17.6
2005,1015,"$35,937",16.9
2004,1015,"$34,813",16.9
2003,1015,"$33,137",16.4
2002,1015,"$32,013",15.8
2001,1015,"$31,849",16.3
2000,1015,"$32,604",15.1
1999,1015,"$31,389",16.3
1998,1015,"$31,866",16.1
1997,1015,"$30,432",16.2
1996,1015,NA,NA
1995,1015,"$27,265",17.5
1993,1015,"$26,297",18
1989,1015,"$23,688",15.2
2015,1017,"$35,560",22.4
2014,1017,"$34,116",21.3
2013,1017,"$33,883",22.5
2012,1017,"$32,320",21.5
2011,1017,"$33,500",23.7
2010,1017,"$30,061",28.5
2009,1017,"$30,621",20.7
2008,1017,"$35,614",18.7
2007,1017,"$33,904",15.6
2006,1017,"$32,014",18.3
2005,1017,"$31,538",16.2
2004,1017,"$30,573",17.2
2003,1017,"$30,844",16.3
2002,1017,"$29,993",16.1
2001,1017,"$29,824",16.3
2000,1017,"$30,505",15.4
1999,1017,"$29,203",16.6
1998,1017,"$29,260",16.8
1997,1017,"$28,093",16.8
1996,1017,NA,NA
1995,1017,"$25,571",18.4
1993,1017,"$24,175",18.8
1989,1017,"$21,277",15.6
2015,1019,"$39,144",19.4
2014,1019,"$38,013",18.6
2013,1019,"$37,478",20.1
2012,1019,"$37,868",19.6
2011,1019,"$34,738",23.8
2010,1019,"$34,410",21.2
2009,1019,"$38,024",18.4
2008,1019,"$38,028",17.7
2007,1019,"$37,376",18.9
2006,1019,"$37,097",18.1
2005,1019,"$33,858",16.2
2004,1019,"$33,564",16.1
2003,1019,"$32,158",15.3
2002,1019,"$31,011",16.3
2001,1019,"$30,738",16.9
2000,1019,"$31,436",15.6
1999,1019,"$30,182",15.4
1998,1019,"$29,839",16.1
1997,1019,"$28,922",15.8
1996,1019,NA,NA
1995,1019,"$26,719",15.8
1993,1019,"$24,479",15.4
1989,1019,"$21,072",14.2
2015,1021,"$42,767",20.2
2014,1021,"$41,450",18.1
2013,1021,"$41,348",20.3
2012,1021,"$39,621",20.1
2011,1021,"$38,833",18.3
2010,1021,"$38,553",20.4
2009,1021,"$38,916",18.7
2008,1021,"$40,292",17.1
2007,1021,"$39,663",16.7
2006,1021,"$36,717",19
2005,1021,"$36,098",16.1
2004,1021,"$35,507",14.8
2003,1021,"$34,201",14.9
2002,1021,"$33,129",15.9
2001,1021,"$32,883",16.3
2000,1021,"$33,650",15.3
1999,1021,"$32,256",15.4
1998,1021,"$31,970",16
1997,1021,"$30,539",16.3
1996,1021,NA,NA
1995,1021,"$28,524",17.5
1993,1021,"$24,685",18.6
1989,1021,"$21,144",17.1
2015,1023,"$35,089",24.4
2014,1023,"$35,049",25
2013,1023,"$33,581",22.4
2012,1023,"$33,390",20.8
2011,1023,"$32,940",27.3
2010,1023,"$32,003",20.7
2009,1023,"$31,067",22.8
2008,1023,"$30,728",22.9
2007,1023,"$31,508",21.8
2006,1023,"$28,730",23.5
2005,1023,"$27,512",24.4
2004,1023,"$27,690",20.2
2003,1023,"$26,829",18.8
2002,1023,"$25,928",18.7
2001,1023,"$25,878",19.5
2000,1023,"$26,388",18.8
1999,1023,"$25,647",20
1998,1023,"$26,723",21.1
1997,1023,"$24,714",22.3
1996,1023,NA,NA
1995,1023,"$23,193",23.6
1993,1023,"$20,848",25
1989,1023,"$18,426",25.4
2015,1025,"$37,317",22.2
2014,1025,"$36,620",24.9
2013,1025,"$34,593",25.4
2012,1025,"$34,606",21.5
2011,1025,"$32,642",26.3
2010,1025,"$33,739",24.9
2009,1025,"$32,729",29.1
2008,1025,"$34,101",20.6
2007,1025,"$32,627",21.8
2006,1025,"$29,659",25.6
2005,1025,"$29,531",20.9
2004,1025,"$28,776",20.9
2003,1025,"$28,644",19.2
2002,1025,"$27,987",19
2001,1025,"$28,010",20
2000,1025,"$28,734",19.1
1999,1025,"$27,685",20.7
1998,1025,"$28,044",20.9
1997,1025,"$26,898",21.8
1996,1025,NA,NA
1995,1025,"$25,078",23.3
1993,1025,"$22,578",24.4
1989,1025,"$20,030",23.7
2015,1027,"$38,908",18.4
2014,1027,"$35,940",19.5
2013,1027,"$33,344",19.6
2012,1027,"$34,579",19.1
2011,1027,"$32,454",18.7
2010,1027,"$33,035",20.6
2009,1027,"$34,831",19.2
2008,1027,"$33,032",16.9
2007,1027,"$36,009",15.5
2006,1027,"$32,512",15.6
2005,1027,"$33,512",15.8
2004,1027,"$31,194",13.9
2003,1027,"$29,456",14
2002,1027,"$28,765",14.2
2001,1027,"$28,289",15.7
2000,1027,"$28,940",14.3
1999,1027,"$27,792",14.7
1998,1027,"$28,323",14.5
1997,1027,"$26,809",14.8
1996,1027,NA,NA
1995,1027,"$25,737",14.7
1993,1027,"$22,603",16.2
1989,1027,"$19,481",15.6
2015,1029,"$42,136",18.9
2014,1029,"$40,418",17
2013,1029,"$40,407",18.9
2012,1029,"$38,235",18.6
2011,1029,"$39,153",17.2
2010,1029,"$37,566",17.8
2009,1029,"$37,870",17
2008,1029,"$37,742",14.8
2007,1029,"$38,918",15.4
2006,1029,"$35,119",15.9
2005,1029,"$34,287",15.5
2004,1029,"$34,128",14.7
2003,1029,"$32,834",14
2002,1029,"$31,359",15.2
2001,1029,"$31,125",16.5
2000,1029,"$31,551",14.4
1999,1029,"$30,502",14.4
1998,1029,"$31,153",14.4
1997,1029,"$29,104",14.7
1996,1029,NA,NA
1995,1029,"$26,852",15.3
1993,1029,"$24,815",15.6
1989,1029,"$22,445",13.7
2015,1031,"$46,858",16.2
2014,1031,"$46,931",16.8
2013,1031,"$44,666",18.5
2012,1031,"$45,631",15.1
2011,1031,"$42,173",16.9
2010,1031,"$40,779",20.1
2009,1031,"$43,296",15.7
2008,1031,"$43,145",15.2
2007,1031,"$36,819",16.5
2006,1031,"$41,417",14.2
2005,1031,"$37,025",15.1
2004,1031,"$37,066",14.2
2003,1031,"$35,739",13.7
2002,1031,"$34,621",14.4
2001,1031,"$33,916",15.5
2000,1031,"$34,561",14.4
1999,1031,"$33,251",14.6
1998,1031,"$32,925",14.5
1997,1031,"$31,316",14.9
1996,1031,NA,NA
1995,1031,"$29,569",14.9
1993,1031,"$28,186",14.9
1989,1031,"$25,856",12.9
2015,1033,"$41,171",18.1
2014,1033,"$43,057",16.7
2013,1033,"$40,032",16.3
2012,1033,"$39,771",16.2
2011,1033,"$37,269",18.7
2010,1033,"$37,455",19.2
2009,1033,"$37,111",16
2008,1033,"$39,947",12.7
2007,1033,"$37,530",16.5
2006,1033,"$36,690",14.4
2005,1033,"$35,590",15.7
2004,1033,"$34,575",14.7
2003,1033,"$33,550",14
2002,1033,"$32,206",14.2
2001,1033,"$32,249",14.8
2000,1033,"$33,227",13.1
1999,1033,"$31,930",13.6
1998,1033,"$32,190",14
1997,1033,"$31,413",13.5
1996,1033,NA,NA
1995,1033,"$29,080",14.1
1993,1033,"$25,374",15.3
1989,1033,"$21,964",14.8
2015,1035,"$29,981",28.3
2014,1035,"$29,101",30.6
2013,1035,"$27,196",30.5
2012,1035,"$27,110",31.3
2011,1035,"$26,914",27.9
2010,1035,"$27,855",25.7
2009,1035,"$26,882",27.5
2008,1035,"$27,068",24.9
2007,1035,"$27,555",24.7
2006,1035,"$25,992",26.3
2005,1035,"$24,587",27.7
2004,1035,"$24,334",23.1
2003,1035,"$23,726",22.1
2002,1035,"$23,366",22.6
2001,1035,"$23,177",23.5
2000,1035,"$23,683",22.8
1999,1035,"$23,069",24.2
1998,1035,"$24,100",25.7
1997,1035,"$22,643",27.4
1996,1035,NA,NA
1995,1035,"$21,610",28
1993,1035,"$19,103",27.4
1989,1035,"$16,284",27.4
2015,1037,"$36,078",20.3
2014,1037,"$34,679",18.8
2013,1037,"$35,175",19.9
2012,1037,"$32,960",21
2011,1037,"$34,391",25.5
2010,1037,"$33,721",18.6
2009,1037,"$34,795",16.7
2008,1037,"$36,050",15.7
2007,1037,"$34,667",15.1
2006,1037,"$32,424",16.7
2005,1037,"$31,142",18.7
2004,1037,"$30,173",14
2003,1037,"$29,801",13.5
2002,1037,"$28,979",15.3
2001,1037,"$29,114",15.5
2000,1037,"$29,926",14.5
1999,1037,"$28,261",15
1998,1037,"$27,289",15.8
1997,1037,"$26,531",16.1
1996,1037,NA,NA
1995,1037,"$25,003",16.1
1993,1037,"$22,353",17.3
1989,1037,"$19,215",16.9
2015,1039,"$36,355",22.3
2014,1039,"$36,149",20.8
2013,1039,"$35,187",19.2
2012,1039,"$34,017",20.9
2011,1039,"$32,138",24.2
2010,1039,"$33,484",20.9
2009,1039,"$32,179",22.5
2008,1039,"$33,773",18.9
2007,1039,"$32,490",19.4
2006,1039,"$30,293",16.9
2005,1039,"$30,847",18.4
2004,1039,"$29,237",18.7
2003,1039,"$28,670",17.5
2002,1039,"$27,654",17.8
2001,1039,"$27,108",18.7
2000,1039,"$27,531",17.6
1999,1039,"$26,636",18.5
1998,1039,"$26,598",19.7
1997,1039,"$25,691",19.5
1996,1039,NA,NA
1995,1039,"$24,201",20.9
1993,1039,"$21,785",21.6
1989,1039,"$18,965",19.5
2015,1041,"$36,759",19.9
2014,1041,"$34,445",21.2
2013,1041,"$34,105",22.2
2012,1041,"$33,648",20.1
2011,1041,"$34,534",18.2
2010,1041,"$35,577",20.3
2009,1041,"$31,849",20.6
2008,1041,"$34,402",18.9
2007,1041,"$33,156",18.3
2006,1041,"$30,576",20
2005,1041,"$29,410",23.5
2004,1041,"$28,909",18.6
2003,1041,"$28,358",17.6
2002,1041,"$27,425",17.9
2001,1041,"$26,965",19.7
2000,1041,"$27,345",19.1
1999,1041,"$25,931",20.2
1998,1041,"$25,353",20.4
1997,1041,"$23,472",20.7
1996,1041,NA,NA
1995,1041,"$21,926",22
1993,1041,"$19,783",22.8
1989,1041,"$15,765",23.6
2015,1043,"$39,290",19.4
2014,1043,"$39,922",17.2
2013,1043,"$40,142",16.4
2012,1043,"$37,938",18.7
2011,1043,"$39,395",18.2
2010,1043,"$37,948",19.2
2009,1043,"$37,425",19.3
2008,1043,"$39,276",14.8
2007,1043,"$39,194",14.2
2006,1043,"$35,774",15.7
2005,1043,"$36,693",14.7
2004,1043,"$35,150",13.8
2003,1043,"$34,056",13.3
2002,1043,"$32,821",14
2001,1043,"$32,877",14.2
2000,1043,"$33,441",12.8
1999,1043,"$32,336",12.9
1998,1043,"$32,609",13.2
1997,1043,"$30,705",13
1996,1043,NA,NA
1995,1043,"$28,824",13.9
1993,1043,"$26,035",15.4
1989,1043,"$22,311",14.9
2015,1045,"$45,294",18.5
2014,1045,"$41,940",22.4
2013,1045,"$41,805",20.1
2012,1045,"$40,125",19.1
2011,1045,"$41,568",18.8
2010,1045,"$41,287",17.8
2009,1045,"$41,279",16.2
2008,1045,"$42,867",15
2007,1045,"$41,214",16.7
2006,1045,"$36,969",16.9
2005,1045,"$36,422",16
2004,1045,"$34,065",16.7
2003,1045,"$32,774",15.7
2002,1045,"$32,103",16.1
2001,1045,"$31,966",16.4
2000,1045,"$32,824",15.3
1999,1045,"$31,267",16.4
1998,1045,"$31,303",16.9
1997,1045,"$30,476",17.3
1996,1045,NA,NA
1995,1045,"$28,578",17.3
1993,1045,"$27,397",17.2
1989,1045,"$23,419",14.3
2015,1047,"$29,682",34.6
2014,1047,"$26,602",35.2
2013,1047,"$27,524",31.3
2012,1047,"$27,400",36.8
2011,1047,"$25,859",35.7
2010,1047,"$26,195",35.6
2009,1047,"$27,088",35
2008,1047,"$27,992",29.9
2007,1047,"$27,647",30.2
2006,1047,"$26,135",28.2
2005,1047,"$24,936",34.9
2004,1047,"$24,949",27.4
2003,1047,"$24,456",25.2
2002,1047,"$23,732",25
2001,1047,"$24,191",25.2
2000,1047,"$24,944",24.4
1999,1047,"$23,989",26.3
1998,1047,"$24,005",28
1997,1047,"$23,379",29.7
1996,1047,NA,NA
1995,1047,"$21,297",33.8
1993,1047,"$18,752",34.2
1989,1047,"$15,962",33.7
2015,1049,"$37,305",20.6
2014,1049,"$36,241",24
2013,1049,"$36,713",20
2012,1049,"$37,644",18.1
2011,1049,"$35,487",20.3
2010,1049,"$34,822",20.8
2009,1049,"$33,919",21.7
2008,1049,"$35,377",18.7
2007,1049,"$35,558",18.4
2006,1049,"$31,613",17.1
2005,1049,"$31,501",19.4
2004,1049,"$32,286",15.8
2003,1049,"$31,310",15.1
2002,1049,"$30,331",16.1
2001,1049,"$30,297",16.7
2000,1049,"$31,087",14.8
1999,1049,"$29,648",15.3
1998,1049,"$29,364",16.2
1997,1049,"$27,948",15.5
1996,1049,NA,NA
1995,1049,"$26,955",16.5
1993,1049,"$23,710",17.3
1989,1049,"$20,404",16.8
2015,1051,"$53,548",14
2014,1051,"$54,298",14.4
2013,1051,"$51,650",13.4
2012,1051,"$52,324",13.8
2011,1051,"$54,866",13.8
2010,1051,"$51,013",12.5
2009,1051,"$50,194",14.2
2008,1051,"$53,296",11.4
2007,1051,"$49,193",11.3
2006,1051,"$50,006",13
2005,1051,"$45,474",13.1
2004,1051,"$43,645",12.5
2003,1051,"$42,687",12.4
2002,1051,"$41,046",13
2001,1051,"$40,445",13.4
2000,1051,"$41,233",12.1
1999,1051,"$39,029",11.8
1998,1051,"$36,723",12.6
1997,1051,"$35,305",13.1
1996,1051,NA,NA
1995,1051,"$34,013",13.7
1993,1051,"$29,825",15.9
1989,1051,"$25,448",14.6
2015,1053,"$36,840",24.4
2014,1053,"$37,077",25.1
2013,1053,"$33,455",27.8
2012,1053,"$33,588",27.9
2011,1053,"$32,838",25.5
2010,1053,"$31,365",26.1
2009,1053,"$31,443",22
2008,1053,"$32,009",24.1
2007,1053,"$34,615",22.4
2006,1053,"$32,844",22.4
2005,1053,"$30,600",22.2
2004,1053,"$29,330",20.1
2003,1053,"$28,608",18.7
2002,1053,"$27,711",20.2
2001,1053,"$28,029",19.9
2000,1053,"$28,942",18.6
1999,1053,"$27,750",18.7
1998,1053,"$27,350",20.2
1997,1053,"$25,712",20.8
1996,1053,NA,NA
1995,1053,"$24,341",23.8
1993,1053,"$22,364",24.4
1989,1053,"$19,506",22.2
2015,1055,"$42,145",19
2014,1055,"$39,904",19
2013,1055,"$38,587",19.6
2012,1055,"$35,737",21
2011,1055,"$34,927",21
2010,1055,"$36,088",19
2009,1055,"$38,575",17.2
2008,1055,"$37,264",16.7
2007,1055,"$35,420",17.4
2006,1055,"$32,448",16.7
2005,1055,"$32,973",15.8
2004,1055,"$32,727",16.1
2003,1055,"$31,512",15.7
2002,1055,"$30,494",16.5
2001,1055,"$30,516",17
2000,1055,"$31,490",15.5
1999,1055,"$29,999",15.9
1998,1055,"$29,619",16.2
1997,1055,"$28,747",16.9
1996,1055,NA,NA
1995,1055,"$27,413",17.8
1993,1055,"$24,857",17.9
1989,1055,"$22,255",14.9
2015,1057,"$37,085",20.4
2014,1057,"$35,664",20.6
2013,1057,"$35,661",20.7
2012,1057,"$35,720",17.6
2011,1057,"$32,648",22.5
2010,1057,"$32,643",27.3
2009,1057,"$34,262",19.6
2008,1057,"$34,092",19.8
2007,1057,"$35,957",17.2
2006,1057,"$34,465",16.7
2005,1057,"$31,720",17.9
2004,1057,"$30,595",17.4
2003,1057,"$30,216",16.1
2002,1057,"$29,309",16.5
2001,1057,"$29,684",16.9
2000,1057,"$30,362",15.5
1999,1057,"$29,214",16.2
1998,1057,"$29,473",16.7
1997,1057,"$28,717",15.6
1996,1057,NA,NA
1995,1057,"$26,629",17.4
1993,1057,"$23,833",18.6
1989,1057,"$21,425",17.2
2015,1059,"$38,535",21.1
2014,1059,"$33,881",23.1
2013,1059,"$33,332",23.1
2012,1059,"$33,173",19.5
2011,1059,"$33,705",19.9
2010,1059,"$33,649",21.6
2009,1059,"$32,588",21.8
2008,1059,"$35,248",19.5
2007,1059,"$30,765",20.1
2006,1059,"$30,911",17
2005,1059,"$29,698",19.5
2004,1059,"$29,234",17.8
2003,1059,"$28,277",17.4
2002,1059,"$27,370",18
2001,1059,"$27,618",18.5
2000,1059,"$28,341",16.9
1999,1059,"$27,505",16.9
1998,1059,"$27,971",17
1997,1059,"$26,592",16.6
1996,1059,NA,NA
1995,1059,"$26,003",17
1993,1059,"$22,698",18.1
1989,1059,"$19,607",16.8
2015,1061,"$36,289",22.4
2014,1061,"$34,425",23.9
2013,1061,"$35,378",23.6
2012,1061,"$33,347",22.8
2011,1061,"$33,835",24.4
2010,1061,"$34,418",20.3
2009,1061,"$31,347",19.4
2008,1061,"$32,027",17.8
2007,1061,"$33,734",19.5
2006,1061,"$30,230",19.5
2005,1061,"$29,492",20.3
2004,1061,"$28,787",18.1
2003,1061,"$28,040",17.6
2002,1061,"$27,180",18.6
2001,1061,"$26,992",20.1
2000,1061,"$27,382",18.4
1999,1061,"$26,536",18.5
1998,1061,"$27,049",18.6
1997,1061,"$26,009",18.7
1996,1061,NA,NA
1995,1061,"$24,586",18.9
1993,1061,"$23,098",19.4
1989,1061,"$19,515",18.6
2015,1063,"$25,398",37.7
2014,1063,"$26,504",33.2
2013,1063,"$25,864",35
2012,1063,"$24,592",34.1
2011,1063,"$24,738",35.1
2010,1063,"$27,117",31
2009,1063,"$26,131",28.4
2008,1063,"$26,001",30.3
2007,1063,"$25,137",31.3
2006,1063,"$23,404",33.2
2005,1063,"$22,436",33.9
2004,1063,"$22,439",26.5
2003,1063,"$21,963",25.1
2002,1063,"$20,763",27.3
2001,1063,"$20,771",28.4
2000,1063,"$21,163",26.8
1999,1063,"$20,185",28.5
1998,1063,"$19,050",32.7
1997,1063,"$17,602",35.5
1996,1063,NA,NA
1995,1063,"$16,274",40.1
1993,1063,"$14,288",38.8
1989,1063,"$12,303",42.2
2015,1065,"$35,470",28.5
2014,1065,"$33,315",28.1
2013,1065,"$33,597",25.7
2012,1065,"$31,025",27.9
2011,1065,"$31,044",28.5
2010,1065,"$31,790",24.8
2009,1065,"$30,124",26.6
2008,1065,"$31,091",26
2007,1065,"$31,481",24
2006,1065,"$29,268",24.9
2005,1065,"$27,535",30.4
2004,1065,"$26,841",22
2003,1065,"$26,138",20.8
2002,1065,"$25,121",22.6
2001,1065,"$25,063",24.6
2000,1065,"$26,400",21.7
1999,1065,"$24,706",23
1998,1065,"$21,976",25.4
1997,1065,"$20,704",26.6
1996,1065,NA,NA
1995,1065,"$19,815",30.8
1993,1065,"$16,761",31.4
1989,1065,"$12,949",35.9
2015,1067,"$42,501",17
2014,1067,"$39,930",17.3
2013,1067,"$41,590",18.2
2012,1067,"$37,108",19.2
2011,1067,"$39,788",18.7
2010,1067,"$37,851",18.1
2009,1067,"$35,215",18.7
2008,1067,"$36,453",18.6
2007,1067,"$35,076",17.9
2006,1067,"$35,398",17.8
2005,1067,"$33,191",17.6
2004,1067,"$32,441",17.1
2003,1067,"$31,504",16.3
2002,1067,"$30,534",16.3
2001,1067,"$30,154",17.1
2000,1067,"$31,049",16.3
1999,1067,"$29,695",16.9
1998,1067,"$29,084",17.3
1997,1067,"$28,276",18.1
1996,1067,NA,NA
1995,1067,"$26,589",18.4
1993,1067,"$24,581",19.1
1989,1067,"$20,669",18.3
2015,1069,"$43,568",18.3
2014,1069,"$40,124",20.1
2013,1069,"$39,636",18.1
2012,1069,"$40,609",19
2011,1069,"$40,428",17.5
2010,1069,"$39,290",17.9
2009,1069,"$38,751",17.7
2008,1069,"$42,523",15.1
2007,1069,"$40,461",15.7
2006,1069,"$37,415",16.3
2005,1069,"$37,947",14.9
2004,1069,"$36,616",15.8
2003,1069,"$35,866",15.3
2002,1069,"$34,605",15.4
2001,1069,"$34,500",16
2000,1069,"$35,287",15
1999,1069,"$33,486",15.8
1998,1069,"$33,234",16.2
1997,1069,"$32,086",16.4
1996,1069,NA,NA
1995,1069,"$30,673",17
1993,1069,"$28,063",18
1989,1069,"$24,816",15.7
2015,1071,"$40,201",18.4
2014,1071,"$36,923",22
2013,1071,"$37,204",16.9
2012,1071,"$39,618",16.4
2011,1071,"$36,746",17.9
2010,1071,"$36,158",19.9
2009,1071,"$35,015",16.4
2008,1071,"$36,597",16.9
2007,1071,"$36,178",17.6
2006,1071,"$37,545",15.5
2005,1071,"$32,208",18.8
2004,1071,"$33,733",15.3
2003,1071,"$33,128",14.4
2002,1071,"$32,278",14.9
2001,1071,"$32,302",14.9
2000,1071,"$33,289",13.3
1999,1071,"$31,989",14
1998,1071,"$32,272",14.4
1997,1071,"$30,791",14.7
1996,1071,NA,NA
1995,1071,"$28,691",15.9
1993,1071,"$26,198",16.1
1989,1071,"$23,015",15.1
2015,1073,"$48,415",18
2014,1073,"$44,852",19.5
2013,1073,"$45,024",18.9
2012,1073,"$43,967",18.6
2011,1073,"$42,053",18.7
2010,1073,"$41,740",18.6
2009,1073,"$43,312",16.5
2008,1073,"$46,269",13.8
2007,1073,"$44,908",15.1
2006,1073,"$41,731",14.3
2005,1073,"$41,821",15.7
2004,1073,"$38,520",15.4
2003,1073,"$38,305",14.5
2002,1073,"$37,375",13.9
2001,1073,"$37,058",13.6
2000,1073,"$37,094",12.8
1999,1073,"$35,885",13.7
1998,1073,"$36,431",14.1
