"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.350659755728485,0.526727589038748,0.956906262754453
"2",0,2,0.365362134407953,0.515868061291296,0.923018822841933
"3",5,1,0.168670234235614,0.347931830915837,0.692958447137214
"4",5,2,0.183812886223978,0.316046896314064,0.594135376137376
"5",15,1,0.137818445169275,0.679435367114649,1.58321600748529
"6",15,2,0.145375166527411,0.483415417312559,1.06664125646017
"7",25,1,0.136332330982041,0.632947049270375,1.42133843899876
"8",25,2,0.144009268147436,0.429222742863459,0.876530017186165
"9",35,1,0.146639474296763,0.590119809469193,1.33824115197347
"10",35,2,0.157049567571685,0.411387480216717,0.820692203490739
"11",45,1,0.180476499313869,0.671434204871663,1.46690143490284
"12",45,2,0.181032792837833,0.448513583738251,0.908047186449248
"13",55,1,0.227296945575355,0.764317815374237,1.56720628347895
"14",55,2,0.224060396035852,0.521171034060108,1.01035519921074
"15",65,1,0.316257939663939,0.974489365310803,1.95736713157837
"16",65,2,0.289106650788248,0.691392918825335,1.3099514539791
"17",75,1,0.617630879293166,1.74077232742528,3.38551530650571
"18",75,2,0.465650592959695,1.07296979544355,1.959349645496
"19",85,1,2.75801729294004,5.13079420526291,8.20243256780641
"20",85,2,1.57900937146365,2.00123109970316,3.04389152028802
