"fips","sex","age","year","stateFips","countyFips","pop"
"02275",2,40,2005,"02","275",101
"02275",1,65,2005,"02","275",57
"02275",1,10,2005,"02","275",92
"02198",1,85,2005,"02","198",10
"02195",1,80,2005,"02","195",22
"02230",2,35,2005,"02","230",35
"02198",1,20,2005,"02","198",205
"02195",2,80,2005,"02","195",31
"02105",2,45,2005,"02","105",107
"02275",1,5,2005,"02","275",48
"02230",2,30,2005,"02","230",38
"02230",1,20,2005,"02","230",22
"02105",1,45,2005,"02","105",115
"02195",1,75,2005,"02","195",48
"02275",1,45,2005,"02","275",135
"02198",1,35,2005,"02","198",194
"02275",2,75,2005,"02","275",21
"02275",1,85,2005,"02","275",4
"02195",1,85,2005,"02","195",19
"02105",2,50,2005,"02","105",119
"02158",1,85,2005,"02","158",7
"02275",2,80,2005,"02","275",18
"02275",1,25,2005,"02","275",71
"02275",1,55,2005,"02","275",92
"02275",1,30,2005,"02","275",37
"02195",2,45,2005,"02","195",184
"02275",2,50,2005,"02","275",116
"02275",2,0,2005,"02","275",55
"02275",1,60,2005,"02","275",85
"02195",1,45,2005,"02","195",208
"02275",1,15,2005,"02","275",105
"02158",2,5,2005,"02","158",237
"02105",1,10,2005,"02","105",95
"02105",1,70,2005,"02","105",31
"02275",1,20,2005,"02","275",59
"46102",1,10,2005,"46","102",822
"02230",2,5,2005,"02","230",55
"02198",2,55,2005,"02","198",152
"02230",2,65,2005,"02","230",19
"46102",1,45,2005,"46","102",361
"02195",2,40,2005,"02","195",155
"02198",1,65,2005,"02","198",120
"02198",2,15,2005,"02","198",205
"02195",2,20,2005,"02","195",84
"02195",1,15,2005,"02","195",183
"02158",1,0,2005,"02","158",432
"02158",2,75,2005,"02","158",35
"02230",1,40,2005,"02","230",40
"02105",2,30,2005,"02","105",57
"02195",1,60,2005,"02","195",116
"02230",1,35,2005,"02","230",40
"02195",1,20,2005,"02","195",107
"02230",2,50,2005,"02","230",38
"02275",2,20,2005,"02","275",39
"02230",1,25,2005,"02","230",25
"02198",1,60,2005,"02","198",182
"02195",1,25,2005,"02","195",144
"02158",1,35,2005,"02","158",250
"02230",2,75,2005,"02","230",8
"02275",2,55,2005,"02","275",89
"02275",1,80,2005,"02","275",19
"02198",2,20,2005,"02","198",131
"02105",1,35,2005,"02","105",70
"02230",2,15,2005,"02","230",19
"02230",1,10,2005,"02","230",22
"02230",1,0,2005,"02","230",17
"02198",2,75,2005,"02","198",48
"02198",2,70,2005,"02","198",54
"02198",2,65,2005,"02","198",56
"02198",2,10,2005,"02","198",204
"02198",1,80,2005,"02","198",13
"02195",1,50,2005,"02","195",202
"02230",1,45,2005,"02","230",47
"02158",2,65,2005,"02","158",72
"02158",2,60,2005,"02","158",71
"02158",2,40,2005,"02","158",208
"02158",2,10,2005,"02","158",497
"02105",2,85,2005,"02","105",14
"02105",2,10,2005,"02","105",79
"02105",1,80,2005,"02","105",7
"02105",1,30,2005,"02","105",57
"02105",1,15,2005,"02","105",90
"02158",1,80,2005,"02","158",18
"02230",2,25,2005,"02","230",26
"02198",1,0,2005,"02","198",192
"46102",2,0,2005,"46","102",726
"02198",2,30,2005,"02","198",129
"02230",1,50,2005,"02","230",59
"02158",1,55,2005,"02","158",156
"02158",1,10,2005,"02","158",529
"02105",2,60,2005,"02","105",52
"02230",2,85,2005,"02","230",5
"02195",2,0,2005,"02","195",103
"02105",1,0,2005,"02","105",55
"02230",2,70,2005,"02","230",8
"02105",2,75,2005,"02","105",18
"02105",2,25,2005,"02","105",71
"02158",2,80,2005,"02","158",28
