"","year","deaths.attributable.median","deaths.attributable.mean","deaths.attributable.ll","deaths.attributable.ul"
"1",1980,5.20049408695733,5.3476381971258,-3.07889311332126,14.6376605977633
"2",1981,12.3017912519127,12.2716483310618,-5.83053115952804,30.8562026964435
"3",1982,0,0,0,0
"4",1983,-0.0503405361500395,-0.00530108736881804,-4.97783137184266,4.9887442920774
"5",1984,12.5382227319711,12.8553203518584,-13.5746473052497,43.5963708920659
"6",1985,4.51064926613996,4.53857198950907,-1.75354828303416,10.819046173144
"7",1986,2.77688123357539,2.74196088259925,-1.08981033866902,6.27516738071958
"8",1987,0.453890723673004,0.454833117339674,-0.204475070460518,1.05005046332974
"9",1988,2.48337104744861,2.55363618320012,-1.4702514584118,6.98986325588393
"10",1989,14.1702890600993,13.8766418973054,-9.22783374343119,37.746010748309
"11",1990,9.7825486764496,9.80285975891009,-4.40697997463712,22.6313719018678
"12",1991,0,0,0,0
"13",1992,-0.0837182707423966,-0.00881591459910305,-8.27832729583657,8.29647590688987
"14",1993,5.50021280757893,5.63931580705821,-5.95486701447068,19.1246656460381
"15",1994,32.6795570204533,32.6221650392546,-26.9121100523464,91.8906722002376
"16",1995,10.3194368042352,9.98721893465307,-34.4154570317908,55.1329420913885
"17",1996,34.0170834718064,34.1733870944893,-13.8595578898157,81.3096215887903
"18",1997,16.5019103719246,17.4818374308319,-24.7060130635538,61.4250887097149
"19",1998,2.70491065533526,2.7002588362864,-13.3607055086696,19.4841347882801
"20",1999,0,0,0,0
"21",2000,30.5771063595468,30.6978821499304,-26.4202715336754,88.1468651539921
"22",2001,27.4341510814919,27.5998271874997,-38.0132716809185,97.1301626393322
"23",2002,36.1974120826644,35.8727454514129,-14.6577670491006,85.9159858521308
"24",2003,31.6464423845181,31.5322801906968,-28.1310985894114,90.6411962270813
"25",2004,12.6575861409295,13.0982341973014,-11.4338556256395,41.2568584400157
"26",2005,33.3229322184241,32.8774074185106,-21.0390204250429,90.6731590164919
"27",2006,70.6883826550327,70.5219867951481,-15.5475866247289,156.996635466122
"28",2007,39.4005727330475,39.5828544577869,-29.9272137975389,110.558928566506
"29",2008,19.880052625785,19.768999302412,-16.2835598203103,54.3353991639962
"30",2009,63.6356754060425,63.21399023538,-55.4869572233621,184.093785304007
"31",2010,22.177598795336,23.32109997959,-54.1077369846697,100.110677263797
"32",2011,21.4522551198026,21.2281751609793,-84.1172676275114,129.071672090061
"33",2012,52.3152891618809,52.5820219976458,-26.4147117211626,136.157673486572
"34",2013,53.1942819863375,53.0008045868514,-19.352708526755,119.984898464681
"35",2014,33.6087063387433,33.3042594920921,-12.5120791918937,76.6109799004562
"36",2015,36.2412612849388,36.2690318984608,-49.162608549314,125.886639801253
"37",2016,71.9823991116209,72.2236284304537,-21.7388907795304,164.388011783735
"38",2017,50.6154857644027,50.3000903070129,-22.1947123199321,118.010017424923
