"","model.2.mean","model.2.ll","model.2.ul","age","sex","cause"
"1",0.0112462832653286,-0.00649863796301148,0.0283761326806717,0,2,"Other transport accidents"
"2",0.0128100699848045,-0.00472781574579031,0.0303776929158573,0,2,"Other transport accidents"
"3",0.0146014046547347,-0.00345153645900078,0.0337084172743908,0,2,"Other transport accidents"
"4",0.0139183004782859,-0.00513660294000193,0.0335529197431759,0,2,"Other transport accidents"
"5",0.0136817667634172,-0.00608287664202261,0.0338891708931837,0,2,"Other transport accidents"
"6",0.0134697580859426,-0.00696143346183514,0.0342428169549943,0,2,"Other transport accidents"
"7",0.0133138264851353,-0.00749920290905926,0.0344139445681388,0,2,"Other transport accidents"
"8",0.012894338800133,-0.0081074260399283,0.0338870767829188,0,2,"Other transport accidents"
"9",0.0130648997010072,-0.00756012956475255,0.0339139367855736,0,2,"Other transport accidents"
"10",0.0131492256719019,-0.00660199775620142,0.0332762864237481,0,2,"Other transport accidents"
"11",0.0123232170055822,-0.0064262955235503,0.0309517846637108,0,2,"Other transport accidents"
"12",0.011436002364151,-0.00638617976507231,0.0287912726081465,0,2,"Other transport accidents"
"13",0.0105611084313368,-0.00678982672146044,0.027326605424657,5,2,"Other transport accidents"
"14",0.00964395331726929,-0.00831350994283127,0.0265963448444318,5,2,"Other transport accidents"
"15",0.010873837547197,-0.00756018563825012,0.0287662609723489,5,2,"Other transport accidents"
"16",0.0127071137898318,-0.00626942753036995,0.0321646481768585,5,2,"Other transport accidents"
"17",0.0129763887138847,-0.00668024882538566,0.033119393045134,5,2,"Other transport accidents"
"18",0.0140156621668464,-0.00597467037818228,0.0352521004198832,5,2,"Other transport accidents"
"19",0.0140580912870018,-0.00621886500794086,0.0355520193273523,5,2,"Other transport accidents"
"20",0.0132727313711627,-0.00734025089673422,0.034397277497885,5,2,"Other transport accidents"
"21",0.0138037940078543,-0.00639267925154811,0.0350065567868591,5,2,"Other transport accidents"
"22",0.0137794913662128,-0.00561758217015987,0.0341451134528863,5,2,"Other transport accidents"
"23",0.0137182949554984,-0.00437823943753926,0.0327129463580458,5,2,"Other transport accidents"
"24",0.0124998924470868,-0.00457815076741993,0.0297985568761193,5,2,"Other transport accidents"
"25",0.0155877852982814,-0.00186771159898828,0.0323831580624201,45,2,"Other transport accidents"
"26",0.0131483050892622,-0.00591734896828343,0.0302043520946947,45,2,"Other transport accidents"
"27",0.0151322501903646,-0.0040472724187884,0.0331088488674008,45,2,"Other transport accidents"
"28",0.0183596124573728,-0.0010328576947082,0.0383942089448319,45,2,"Other transport accidents"
"29",0.0208179168079972,0.00107888755618541,0.0427316191484714,45,2,"Other transport accidents"
"30",0.0228962145923341,0.0025817793557356,0.046953618210266,45,2,"Other transport accidents"
"31",0.0213369892442263,0.000752817085145716,0.0442465927670432,45,2,"Other transport accidents"
"32",0.0203499673273575,-0.000507728569239037,0.0428402848065295,45,2,"Other transport accidents"
"33",0.0202850647336894,-0.000250742646515457,0.042541849285897,45,2,"Other transport accidents"
"34",0.0194203336956863,-0.000374288322585948,0.0402871773408848,45,2,"Other transport accidents"
"35",0.0193890396940478,0.00113434670121506,0.0388200726075737,45,2,"Other transport accidents"
"36",0.0171769139950653,-0.000148865861938716,0.0344379892401665,45,2,"Other transport accidents"
"37",0.015615706594387,-0.00160838028541198,0.0330136811010635,65,2,"Other transport accidents"
"38",0.0164055587471188,-0.000991481489521613,0.0342942935483641,65,2,"Other transport accidents"
"39",0.0162334973725567,-0.00217323165890325,0.0350362904095387,65,2,"Other transport accidents"
"40",0.0165225657548563,-0.00287032653169134,0.0366455233114864,65,2,"Other transport accidents"
"41",0.0155624625753882,-0.00485792217268582,0.035999420152484,65,2,"Other transport accidents"
"42",0.0158923162304326,-0.00497656468127124,0.037193502880209,65,2,"Other transport accidents"
"43",0.0148777202316063,-0.00670035422513685,0.0360899204968034,65,2,"Other transport accidents"
"44",0.0150905421398004,-0.00635159073611893,0.0364344531266526,65,2,"Other transport accidents"
"45",0.0153382241198838,-0.00559911328218222,0.0364993055749754,65,2,"Other transport accidents"
"46",0.014572231610836,-0.00571859932698667,0.0345707930510814,65,2,"Other transport accidents"
"47",0.013379509937019,-0.00607196352861665,0.0318734625323288,65,2,"Other transport accidents"
"48",0.0139575008377302,-0.00392091671645149,0.0313359811407925,65,2,"Other transport accidents"
"49",0.00952323549087376,-0.00908501756305129,0.027602704267283,85,2,"Other transport accidents"
"50",0.009581259612866,-0.00927433197907514,0.0279053171656944,85,2,"Other transport accidents"
"51",0.0107197922803349,-0.00882677488102119,0.0301949097265962,85,2,"Other transport accidents"
"52",0.0120964211840546,-0.00827743720658709,0.0333110582820741,85,2,"Other transport accidents"
"53",0.0119992467621672,-0.00919027184603672,0.0338682093094435,85,2,"Other transport accidents"
"54",0.0119310384823155,-0.00996481817092937,0.0344348559047705,85,2,"Other transport accidents"
"55",0.0116644692267109,-0.0106709364341917,0.0343370343177978,85,2,"Other transport accidents"
"56",0.0119338613855535,-0.0103211384462352,0.034765127316514,85,2,"Other transport accidents"
"57",0.0126265169010812,-0.00901845598184154,0.0354931701125257,85,2,"Other transport accidents"
"58",0.0125049836995294,-0.00825648252058857,0.0343388299838973,85,2,"Other transport accidents"
"59",0.0119518878183632,-0.00758014738956643,0.0321155058485811,85,2,"Other transport accidents"
"60",0.0104382812777787,-0.00815184057506352,0.0288707283004422,85,2,"Other transport accidents"
