CN0100100000000,1,1,"Autauga County, AL",2001,,21955,21055,900,4.1
CN0100300000000,1,3,"Baldwin County, AL",2001,,69161,66195,2966,4.3
CN0100500000000,1,5,"Barbour County, AL",2001,,11250,10412,838,7.4
CN0100700000000,1,7,"Bibb County, AL",2001,,9081,8468,613,6.8
CN0100900000000,1,9,"Blount County, AL",2001,,25305,24393,912,3.6
CN0101100000000,1,11,"Bullock County, AL",2001,,3912,3524,388,9.9
CN0101300000000,1,13,"Butler County, AL",2001,,9003,8328,675,7.5
CN0101500000000,1,15,"Calhoun County, AL",2001,,51578,48744,2834,5.5
CN0101700000000,1,17,"Chambers County, AL",2001,,17424,16481,943,5.4
CN0101900000000,1,19,"Cherokee County, AL",2001,,11339,10824,515,4.5
CN0102100000000,1,21,"Chilton County, AL",2001,,19464,18533,931,4.8
CN0102300000000,1,23,"Choctaw County, AL",2001,,5869,5452,417,7.1
CN0102500000000,1,25,"Clarke County, AL",2001,,11019,9945,1074,9.7
CN0102700000000,1,27,"Clay County, AL",2001,,6366,5981,385,6
CN0102900000000,1,29,"Cleburne County, AL",2001,,6921,6559,362,5.2
CN0103100000000,1,31,"Coffee County, AL",2001,,19276,18084,1192,6.2
CN0103300000000,1,33,"Colbert County, AL",2001,,25609,23856,1753,6.8
CN0103500000000,1,35,"Conecuh County, AL",2001,,5274,4890,384,7.3
CN0103700000000,1,37,"Coosa County, AL",2001,,5300,4942,358,6.8
CN0103900000000,1,39,"Covington County, AL",2001,,16846,15782,1064,6.3
CN0104100000000,1,41,"Crenshaw County, AL",2001,,6000,5641,359,6
CN0104300000000,1,43,"Cullman County, AL",2001,,37982,36230,1752,4.6
CN0104500000000,1,45,"Dale County, AL",2001,,20127,19012,1115,5.5
CN0104700000000,1,47,"Dallas County, AL",2001,,17483,15881,1602,9.2
CN0104900000000,1,49,"DeKalb County, AL",2001,,32237,30689,1548,4.8
CN0105100000000,1,51,"Elmore County, AL",2001,,31470,30138,1332,4.2
CN0105300000000,1,53,"Escambia County, AL",2001,,15537,14585,952,6.1
CN0105500000000,1,55,"Etowah County, AL",2001,,46764,43689,3075,6.6
CN0105700000000,1,57,"Fayette County, AL",2001,,8145,7632,513,6.3
CN0105900000000,1,59,"Franklin County, AL",2001,,13965,12902,1063,7.6
