CN0100100000000,1,1,"Autauga County, AL",2003,,22604,21462,1142,5.1
CN0100300000000,1,3,"Baldwin County, AL",2003,,72299,68702,3597,5
CN0100500000000,1,5,"Barbour County, AL",2003,,10977,10196,781,7.1
CN0100700000000,1,7,"Bibb County, AL",2003,,8836,8309,527,6
CN0100900000000,1,9,"Blount County, AL",2003,,25900,24702,1198,4.6
CN0101100000000,1,11,"Bullock County, AL",2003,,3979,3540,439,11
CN0101300000000,1,13,"Butler County, AL",2003,,9183,8386,797,8.7
CN0101500000000,1,15,"Calhoun County, AL",2003,,52817,49673,3144,6
CN0101700000000,1,17,"Chambers County, AL",2003,,16829,15745,1084,6.4
CN0101900000000,1,19,"Cherokee County, AL",2003,,11929,11342,587,4.9
CN0102100000000,1,21,"Chilton County, AL",2003,,19478,18499,979,5
CN0102300000000,1,23,"Choctaw County, AL",2003,,5651,5085,566,10
CN0102500000000,1,25,"Clarke County, AL",2003,,10769,9839,930,8.6
CN0102700000000,1,27,"Clay County, AL",2003,,5923,5492,431,7.3
CN0102900000000,1,29,"Cleburne County, AL",2003,,6672,6267,405,6.1
CN0103100000000,1,31,"Coffee County, AL",2003,,19932,18834,1098,5.5
CN0103300000000,1,33,"Colbert County, AL",2003,,24562,22720,1842,7.5
CN0103500000000,1,35,"Conecuh County, AL",2003,,5149,4707,442,8.6
CN0103700000000,1,37,"Coosa County, AL",2003,,5056,4641,415,8.2
CN0103900000000,1,39,"Covington County, AL",2003,,17322,16110,1212,7
CN0104100000000,1,41,"Crenshaw County, AL",2003,,5920,5517,403,6.8
CN0104300000000,1,43,"Cullman County, AL",2003,,38276,36045,2231,5.8
CN0104500000000,1,45,"Dale County, AL",2003,,20546,19457,1089,5.3
CN0104700000000,1,47,"Dallas County, AL",2003,,16783,14878,1905,11.4
CN0104900000000,1,49,"DeKalb County, AL",2003,,32218,30363,1855,5.8
CN0105100000000,1,51,"Elmore County, AL",2003,,32603,30929,1674,5.1
