CN0100100000000,1,1,"Autauga County, AL",2000,,21720,20846,874,4
CN0100300000000,1,3,"Baldwin County, AL",2000,,69533,66971,2562,3.7
CN0100500000000,1,5,"Barbour County, AL",2000,,11373,10748,625,5.5
CN0100700000000,1,7,"Bibb County, AL",2000,,8565,8111,454,5.3
CN0100900000000,1,9,"Blount County, AL",2000,,25106,24231,875,3.5
CN0101100000000,1,11,"Bullock County, AL",2000,,3971,3635,336,8.5
CN0101300000000,1,13,"Butler County, AL",2000,,9156,8445,711,7.8
CN0101500000000,1,15,"Calhoun County, AL",2000,,52896,50223,2673,5.1
CN0101700000000,1,17,"Chambers County, AL",2000,,17373,16610,763,4.4
CN0101900000000,1,19,"Cherokee County, AL",2000,,11304,10797,507,4.5
CN0102100000000,1,21,"Chilton County, AL",2000,,19475,18641,834,4.3
CN0102300000000,1,23,"Choctaw County, AL",2000,,6184,5781,403,6.5
CN0102500000000,1,25,"Clarke County, AL",2000,,11597,10750,847,7.3
CN0102700000000,1,27,"Clay County, AL",2000,,6565,6163,402,6.1
CN0102900000000,1,29,"Cleburne County, AL",2000,,6958,6676,282,4.1
CN0103100000000,1,31,"Coffee County, AL",2000,,19902,18748,1154,5.8
CN0103300000000,1,33,"Colbert County, AL",2000,,25950,24511,1439,5.5
CN0103500000000,1,35,"Conecuh County, AL",2000,,5483,5127,356,6.5
CN0103700000000,1,37,"Coosa County, AL",2000,,5295,5009,286,5.4
CN0103900000000,1,39,"Covington County, AL",2000,,17316,16124,1192,6.9
CN0104100000000,1,41,"Crenshaw County, AL",2000,,6115,5766,349,5.7
CN0104300000000,1,43,"Cullman County, AL",2000,,38647,37053,1594,4.1
CN0104500000000,1,45,"Dale County, AL",2000,,20785,19702,1083,5.2
CN0104700000000,1,47,"Dallas County, AL",2000,,17823,16389,1434,8
CN0104900000000,1,49,"DeKalb County, AL",2000,,32308,31009,1299,4
CN0105100000000,1,51,"Elmore County, AL",2000,,30995,29767,1228,4
CN0105300000000,1,53,"Escambia County, AL",2000,,16092,15257,835,5.2
CN0105500000000,1,55,"Etowah County, AL",2000,,48177,45380,2797,5.8
CN0105700000000,1,57,"Fayette County, AL",2000,,8276,7792,484,5.8
CN0105900000000,1,59,"Franklin County, AL",2000,,14629,13674,955,6.5
CN0106100000000,1,61,"Geneva County, AL",2000,,12180,11562,618,5.1
CN0106300000000,1,63,"Greene County, AL",2000,,3510,3271,239,6.8
CN0106500000000,1,65,"Hale County, AL",2000,,6976,6557,419,6
CN0106700000000,1,67,"Henry County, AL",2000,,7634,7259,375,4.9
CN0106900000000,1,69,"Houston County, AL",2000,,45170,43186,1984,4.4
