"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.332906120631466,0.945606320354346,1.79778567599331
"2",0,2,0.349667639869329,0.880295855699501,1.59363097342091
"3",5,1,0.158555699695723,0.460549948105643,0.991146175044552
"4",5,2,0.179052251198635,0.407354429810074,0.784307826943405
"5",15,1,0.131149381457356,1.00756464591675,2.67433139748245
"6",15,2,0.141310230806165,0.618650057309107,1.363784503703
"7",25,1,0.134857026875243,1.05048238631852,2.38304349871267
"8",25,2,0.147073613883417,0.610906892019047,1.29926525094179
"9",35,1,0.144506710223358,1.01955441314847,2.31824177626415
"10",35,2,0.151062384271976,0.63881513614086,1.3712164224242
"11",45,1,0.167331332245926,1.14103077533173,2.56401154924505
"12",45,2,0.172042468612313,0.707891136227687,1.54273441860078
"13",55,1,0.216395620807355,1.30130880358598,2.83099976700131
"14",55,2,0.195701476770453,0.781878830802497,1.63883960755195
"15",65,1,0.306052366503878,1.77244564227594,3.77188832140003
"16",65,2,0.26236485256904,1.04645642022343,2.20477174046316
"17",75,1,0.584228332118775,3.48340496548332,7.56871223326605
"18",75,2,0.415463522713457,1.93682727225514,4.15289024948692
"19",85,1,1.9903467386849,10.3300035158135,22.4853219107275
"20",85,2,0.900789081938568,5.06397389923077,11.2356297886539
