"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.422741631963817,0.524537574870748,0.844969940828393
"2",0,2,0.425899428741225,0.506714688267076,0.829142730576068
"3",5,1,0.182024852134868,0.230059198656346,0.428426713141663
"4",5,2,0.163531011423785,0.185357441256975,0.36176721030267
"5",15,1,0.193743644807508,0.258967445915986,0.43956940048417
"6",15,2,0.193568064200033,0.226611532200611,0.376525372770831
"7",25,1,0.187158677255902,0.239384444771743,0.464973589786812
"8",25,2,0.215312252163162,0.251432434961291,0.417185524542878
"9",35,1,0.189418088261136,0.23316996878222,0.491047736843008
"10",35,2,0.218980807861125,0.267587034476132,0.450035648131825
"11",45,1,0.22590004179137,0.282344285390345,0.585017711573854
"12",45,2,0.249455398903833,0.305440976654922,0.518852456935148
"13",55,1,0.29660102384186,0.407218053744767,0.73088574045769
"14",55,2,0.320699134806067,0.375235825192247,0.596150104836155
"15",65,1,0.447004400157274,0.618814356206193,1.07909681694265
"16",65,2,0.424217231045027,0.529422371204307,0.818274353695552
"17",75,1,0.863987542697538,1.19493385579928,2.08313097870888
"18",75,2,0.596202029551172,0.775253796283372,1.32565935029607
"19",85,1,3.3760748013062,4.37814335230132,7.19160498628727
"20",85,2,1.35178744010536,1.78378726682017,3.14814309316548
