"","model.2.mean","model.2.ll","model.2.ul","age","sex","cause"
"1",0.00063883622343379,-0.0124855355840757,0.0128879492634086,0,1,"Assault"
"2",-0.000291970653330769,-0.0141311634229207,0.0121789584481295,0,1,"Assault"
"3",0.00359147681931478,-0.00999254771784359,0.0178168239214922,0,1,"Assault"
"4",0.00312420375028873,-0.0121583011005155,0.0182760638497149,0,1,"Assault"
"5",0.00425741642293355,-0.0115061144034151,0.0204399603470014,0,1,"Assault"
"6",0.0055384174797755,-0.0106777954502418,0.0229270428229935,0,1,"Assault"
"7",0.00826611466821546,-0.0080415770341287,0.0278994887655617,0,1,"Assault"
"8",0.00683025265971713,-0.00953647466789894,0.025293296446697,0,1,"Assault"
"9",0.00459738048423222,-0.0120113948807723,0.0215405375328008,0,1,"Assault"
"10",0.0040031076030822,-0.0117355903186742,0.0197987086022892,0,1,"Assault"
"11",0.00492053744815679,-0.00898255585173794,0.0198518787056675,0,1,"Assault"
"12",0.00344258563334416,-0.00924149057232826,0.0164254296131217,0,1,"Assault"
"13",0.00418785986023064,-0.0105110107931778,0.0180530764488496,5,1,"Assault"
"14",0.00337056721121466,-0.0119071397276183,0.0174830526734468,5,1,"Assault"
"15",0.0044489213870218,-0.0114925715237923,0.0196170568688305,5,1,"Assault"
"16",0.00465251577230867,-0.0126991222100847,0.0208960405692708,5,1,"Assault"
"17",0.00750553428686196,-0.00946039192835931,0.0251694128480053,5,1,"Assault"
"18",0.00729011221678449,-0.0106233664240951,0.0252208211722137,5,1,"Assault"
"19",0.00961389207120691,-0.00804076942822432,0.028888059851756,5,1,"Assault"
"20",0.0112628092381581,-0.00635886197439903,0.0315687813800677,5,1,"Assault"
"21",0.0129104942667569,-0.00458261705039489,0.0344075713712915,5,1,"Assault"
"22",0.0118287707345839,-0.00478827478237234,0.0315451829136454,5,1,"Assault"
"23",0.00954844602217101,-0.00568888456129068,0.0263032748333031,5,1,"Assault"
"24",0.00563710322564288,-0.00891175307952598,0.0197572741127343,5,1,"Assault"
"25",0.0118089003447066,0.00486101138608958,0.019035791135599,15,1,"Assault"
"26",0.0147337408228844,0.00735538456215119,0.0229311286877493,15,1,"Assault"
"27",0.0130756389406177,0.00521471410072624,0.0215953645294847,15,1,"Assault"
"28",0.00779894029965065,-0.0017385621297711,0.0166250396168091,15,1,"Assault"
"29",0.00567666350334941,-0.00424214046037938,0.0146901273902608,15,1,"Assault"
"30",0.00562401626742115,-0.00480655433589097,0.0152793668691156,15,1,"Assault"
"31",0.00631397820131229,-0.00402042317984355,0.0162353972705974,15,1,"Assault"
"32",0.0056989275672129,-0.00510351053379671,0.015665946958279,15,1,"Assault"
"33",0.00942419589404932,-0.000509839109158609,0.020120732123189,15,1,"Assault"
"34",0.00846473289133144,-0.000898193193239871,0.0178731678082494,15,1,"Assault"
"35",0.00844309401838538,0.000236754048270447,0.0165656589328055,15,1,"Assault"
"36",0.00761813099759485,0.000231133688445947,0.0145557825803731,15,1,"Assault"
"37",0.0109880040083043,0.00375973279022315,0.0180139087045156,25,1,"Assault"
"38",0.017303131194143,0.00985477574739293,0.025516765790337,25,1,"Assault"
"39",0.0177423742363041,0.00951783301641313,0.0269485120828566,25,1,"Assault"
"40",0.0119114384517729,0.00253459975288525,0.0210410704882985,25,1,"Assault"
"41",0.00694389888949965,-0.00377032157982916,0.0163468151250257,25,1,"Assault"
"42",0.00784356512031444,-0.00311578944870828,0.0177826624396864,25,1,"Assault"
