"","model.2.mean","age","sex","cause"
"1",-1.83041719620141,0,1,"Accidental drowning and submersion"
"2",-1.93890517418673,5,1,"Accidental drowning and submersion"
"3",-1.88732042239395,15,1,"Accidental drowning and submersion"
"4",-1.91261825669767,25,1,"Accidental drowning and submersion"
"5",-1.92301263156462,35,1,"Accidental drowning and submersion"
"6",-1.91142888065651,45,1,"Accidental drowning and submersion"
"7",-1.89640192454412,55,1,"Accidental drowning and submersion"
"8",-1.86597585010945,65,1,"Accidental drowning and submersion"
"9",-1.78414289511405,75,1,"Accidental drowning and submersion"
"10",-1.61704329202217,85,1,"Accidental drowning and submersion"
"11",-1.87212252464125,0,2,"Accidental drowning and submersion"
"12",-2.00095763042944,5,2,"Accidental drowning and submersion"
"13",-2.02257753724687,15,2,"Accidental drowning and submersion"
"14",-2.0312347141952,25,2,"Accidental drowning and submersion"
"15",-2.01935882012733,35,2,"Accidental drowning and submersion"
"16",-1.98773686686191,45,2,"Accidental drowning and submersion"
"17",-1.96723348675741,55,2,"Accidental drowning and submersion"
"18",-1.93875678718215,65,2,"Accidental drowning and submersion"
"19",-1.87250866321354,75,2,"Accidental drowning and submersion"
"20",-1.74743588713852,85,2,"Accidental drowning and submersion"
